Accession	Description	Gene Symbol	Abundance_811269 	Abundance_811270 	Abundance_811271 	cytoplasm	nucleus
P08670	Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4	VIM	8.4029	10.4601	8.61047	2.05724	0.207573
Q15149	Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3	PLEC	8.12577	9.14561	7.94629	1.01984	-0.179489
P35579	Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4	MYH9	7.65169	8.57525	7.31993	0.923553	-0.331765
P07437	Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2	TUBB	7.31648	9.12426	7.3475	1.80778	0.0310206
P68371	Tubulin beta-4B chain OS=Homo sapiens OX=9606 GN=TUBB4B PE=1 SV=1	TUBB4B	6.3686	8.12927	6.22206	1.76067	-0.146544
Q13885	Tubulin beta-2A chain OS=Homo sapiens OX=9606 GN=TUBB2A PE=1 SV=1	TUBB2A	4.97187	7.36376	4.86794	2.39189	-0.103934
Q9BVA1	Tubulin beta-2B chain OS=Homo sapiens OX=9606 GN=TUBB2B PE=1 SV=1	TUBB2B	3	5.92757	3	2.92757	0
P62805	Histone H4 OS=Homo sapiens OX=9606 GN=H4C1 PE=1 SV=2	HIST1H4A; HIST1H4F; HIST1H4D; HIST1H4J; HIST2H4A; HIST2H4B; HIST1H4H; HIST1H4C; HIST4H4; HIST1H4E; HIST1H4I; HIST1H4B; HIST1H4K; HIST1H4L	7.6796	8.14921	8.33904	0.469617	0.659447
P04350	Tubulin beta-4A chain OS=Homo sapiens OX=9606 GN=TUBB4A PE=1 SV=2	TUBB4A	3	5.90451	4.97332	2.90451	1.97332
Q13509	Tubulin beta-3 chain OS=Homo sapiens OX=9606 GN=TUBB3 PE=1 SV=2	TUBB3	6.00541	7.54142	5.52783	1.53601	-0.477578
Q8N884	Cyclic GMP-AMP synthase OS=Homo sapiens OX=9606 GN=CGAS PE=1 SV=2	MB21D1; CGAS	5.5968	8.36399	8.48014	2.76719	2.88334
Q5QNW6	Histone H2B type 2-F OS=Homo sapiens OX=9606 GN=HIST2H2BF PE=1 SV=3	HIST2H2BF	6.53767	7.42003	7.65125	0.882361	1.11358
Q16778	Histone H2B type 2-E OS=Homo sapiens OX=9606 GN=HIST2H2BE PE=1 SV=3	HIST2H2BE	7.77088	8.31574	8.3129	0.54486	0.54202
P27708	CAD protein OS=Homo sapiens OX=9606 GN=CAD PE=1 SV=3	CAD	5.39352	8.63655	6.67057	3.24303	1.27705
P07814	Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens OX=9606 GN=EPRS PE=1 SV=5	EPRS	5.74331	8.71142	6.29406	2.96811	0.550758
Q14315	Filamin-C OS=Homo sapiens OX=9606 GN=FLNC PE=1 SV=3	FLNC	6.97013	7.9347	6.29805	0.964566	-0.672081
A0A087WVQ6	Clathrin heavy chain OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=1	CLTC	5.87316	8.61698	6.76602	2.74381	0.892852
Q71U36	Tubulin alpha-1A chain OS=Homo sapiens OX=9606 GN=TUBA1A PE=1 SV=1	TUBA1A	3.73367	7.11566	5.07817	3.38199	1.34449
Q9BUF5	Tubulin beta-6 chain OS=Homo sapiens OX=9606 GN=TUBB6 PE=1 SV=1	TUBB6	4.78399	7.65417	5.19763	2.87018	0.413632
P41219	Peripherin OS=Homo sapiens OX=9606 GN=PRPH PE=1 SV=2	PRPH	3	6.45052	4.47985	3.45052	1.47985
F5H5D3	Tubulin alpha chain OS=Homo sapiens OX=9606 GN=TUBA1C PE=1 SV=1	TUBA1C	7.28561	8.77512	7.12058	1.48951	-0.165029
Q07954	Prolow-density lipoprotein receptor-related protein 1 OS=Homo sapiens OX=9606 GN=LRP1 PE=1 SV=2	LRP1	5.87827	8.31809	6.07171	2.43982	0.193435
P11021	Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2	HSPA5	6.7277	8.37376	6.84097	1.64607	0.11328
P68366	Tubulin alpha-4A chain OS=Homo sapiens OX=9606 GN=TUBA4A PE=1 SV=1	TUBA4A	5.92725	7.87778	6.20729	1.95054	0.280042
P11142	Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1	HSPA8	6.74108	8.29101	6.99353	1.54993	0.25245
P02545	Prelamin-A/C OS=Homo sapiens OX=9606 GN=LMNA PE=1 SV=1	LMNA	7.27374	6.47728	7.24361	-0.79646	-0.0301318
P21333	Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4	FLNA	6.48796	7.81768	6.04396	1.32972	-0.444001
Q01082	Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2	SPTBN1	6.04755	7.97556	6.31142	1.92801	0.26387
Q9C0C2	182 kDa tankyrase-1-binding protein OS=Homo sapiens OX=9606 GN=TNKS1BP1 PE=1 SV=4	TNKS1BP1	5.40878	8.17946	5.59196	2.77069	0.183184
P10412	Histone H1.4 OS=Homo sapiens OX=9606 GN=H1-4 PE=1 SV=2	HIST1H1E	7.44268	7.07223	7.45054	-0.370455	0.00785102
A0A0A0MS14	Immunoglobulin heavy variable 1-45 OS=Homo sapiens OX=9606 GN=IGHV1-45 PE=3 SV=1	IGHV1-45	4.97004	8.77566	8.8405	3.80562	3.87046
P54136	Arginine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=RARS PE=1 SV=2	RARS	4.65559	8.50235	5.96199	3.84677	1.3064
P16403	Histone H1.2 OS=Homo sapiens OX=9606 GN=H1-2 PE=1 SV=2	HIST1H1C	5.29621	3	5.29696	-2.29621	0.000743974
P14868	Aspartate--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=DARS PE=1 SV=2	DARS	5.39786	8.49815	7.07828	3.10029	1.68042
P78527	DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC PE=1 SV=3	PRKDC	6.15793	7.51699	6.90015	1.35906	0.742225
P16402	Histone H1.3 OS=Homo sapiens OX=9606 GN=H1-3 PE=1 SV=2	HIST1H1D	5.71106	5.48682	5.39513	-0.224235	-0.31593
P41252	Isoleucine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=IARS PE=1 SV=2	IARS	5.17246	8.46591	5.85558	3.29345	0.683126
P18124	60S ribosomal protein L7 OS=Homo sapiens OX=9606 GN=RPL7 PE=1 SV=1	RPL7	6.59677	7.20601	6.70491	0.609242	0.108139
P19338	Nucleolin OS=Homo sapiens OX=9606 GN=NCL PE=1 SV=3	NCL	7.13578	7.21966	6.62362	0.0838813	-0.512158
P07196	Neurofilament light polypeptide OS=Homo sapiens OX=9606 GN=NEFL PE=1 SV=3	NEFL	5.40549	7.74839	5.33408	2.34289	-0.0714173
P47897	Glutamine--tRNA ligase OS=Homo sapiens OX=9606 GN=QARS PE=1 SV=1	QARS	4.77947	8.20922	5.81152	3.42975	1.03205
Q13813	Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=3	SPTAN1	5.42265	7.94761	6.01775	2.52496	0.595103
Q16777	Histone H2A type 2-C OS=Homo sapiens OX=9606 GN=HIST2H2AC PE=1 SV=4	HIST2H2AC	7.68585	8.09894	8.33237	0.41309	0.646527
Q15046	Lysine--tRNA ligase OS=Homo sapiens OX=9606 GN=KARS1 PE=1 SV=3	KARS	5.16731	8.30128	5.91347	3.13397	0.746165
P19474	E3 ubiquitin-protein ligase TRIM21 OS=Homo sapiens OX=9606 GN=TRIM21 PE=1 SV=1	TRIM21	6.32588	8.33337	7.15086	2.00749	0.824983
P55072	Transitional endoplasmic reticulum ATPase OS=Homo sapiens OX=9606 GN=VCP PE=1 SV=4	VCP	5.39412	8.11878	6.93222	2.72466	1.5381
P01857	Immunoglobulin heavy constant gamma 1 OS=Homo sapiens OX=9606 GN=IGHG1 PE=1 SV=1	IGHG1	8.58483	5.56932	4.33964	-3.01551	-4.24519
O15027	Protein transport protein Sec16A OS=Homo sapiens OX=9606 GN=SEC16A PE=1 SV=4		5.0339	7.97653	5.34467	2.94263	0.310774
P68104	Elongation factor 1-alpha 1 OS=Homo sapiens OX=9606 GN=EEF1A1 PE=1 SV=1	EEF1A1	6.80702	7.80971	7.23432	1.00269	0.427294
P14625	Endoplasmin OS=Homo sapiens OX=9606 GN=HSP90B1 PE=1 SV=1	HSP90B1	5.27822	7.84349	7.02364	2.56527	1.74542
Q7L7L0	Histone H2A type 3 OS=Homo sapiens OX=9606 GN=HIST3H2A PE=1 SV=3	HIST3H2A	5.97257	6.28594	6.5256	0.31337	0.55303
Q09666	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2	AHNAK	6.28048	7.16803	6.31241	0.887553	0.0319334
P02751	Fibronectin OS=Homo sapiens OX=9606 GN=FN1 PE=1 SV=5		6.32502	7.62776	6.09438	1.30274	-0.230642
P56192	Methionine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=MARS PE=1 SV=2	MARS	5.0617	8.21183	5.82437	3.15013	0.762669
A0A286YEY4	Immunoglobulin heavy constant gamma 2 (Fragment) OS=Homo sapiens OX=9606 GN=IGHG2 PE=1 SV=1		8.33488	6.96435	6.7857	-1.37053	-1.54917
Q96QV6	Histone H2A type 1-A OS=Homo sapiens OX=9606 GN=HIST1H2AA PE=1 SV=3	HIST1H2AA	6.04152	6.17605	6.46384	0.134534	0.422321
P35580	Myosin-10 OS=Homo sapiens OX=9606 GN=MYH10 PE=1 SV=3	MYH10	5.46335	6.40988	5.17914	0.946528	-0.284212
P08238	Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4	HSP90AB1	5.94566	7.1269	6.5236	1.18123	0.577933
P08253	72 kDa type IV collagenase OS=Homo sapiens OX=9606 GN=MMP2 PE=1 SV=2	MMP2	4.82288	7.82847	6.46365	3.00559	1.64076
P05388	60S acidic ribosomal protein P0 OS=Homo sapiens OX=9606 GN=RPLP0 PE=1 SV=1	RPLP0	6.6524	7.40114	6.88247	0.748741	0.230064
P35749	Myosin-11 OS=Homo sapiens OX=9606 GN=MYH11 PE=1 SV=3	MYH11	5.25917	3	3	-2.25917	-2.25917
Q71DI3	Histone H3.2 OS=Homo sapiens OX=9606 GN=HIST2H3A PE=1 SV=3	HIST2H3A; HIST2H3C; HIST2H3D	6.64957	6.52011	6.41006	-0.129466	-0.239513
Q92734	Protein TFG OS=Homo sapiens OX=9606 GN=TFG PE=1 SV=2	TFG	4.5359	8.43739	6.10167	3.90149	1.56577
P05141	ADP/ATP translocase 2 OS=Homo sapiens OX=9606 GN=SLC25A5 PE=1 SV=7	SLC25A5	6.95447	8.03451	6.7048	1.08004	-0.249671
Q71UI9	Histone H2A.V OS=Homo sapiens OX=9606 GN=H2AFV PE=1 SV=3	H2AFV	6.88515	6.68799	7.07485	-0.197163	0.189702
P68431	Histone H3.1 OS=Homo sapiens OX=9606 GN=H3C1 PE=1 SV=2	HIST1H3F; HIST1H3C; HIST1H3D; HIST1H3G; HIST1H3H; HIST1H3B; HIST1H3A; HIST1H3E; HIST1H3I; HIST1H3J	7.50644	7.84497	8.05029	0.338522	0.54385
P31943	Heterogeneous nuclear ribonucleoprotein H OS=Homo sapiens OX=9606 GN=HNRNPH1 PE=1 SV=4	HNRNPH1	5.73172	7.4101	7.36289	1.67839	1.63117
P84243	Histone H3.3 OS=Homo sapiens OX=9606 GN=H3-3A PE=1 SV=2	H3F3A; H3F3AP4; H3F3B	6.10299	6.00325	5.86787	-0.0997392	-0.235122
Q9P2J5	Leucine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=LARS PE=1 SV=2	LARS	4.75998	7.82099	5.5673	3.06101	0.807324
P07996	Thrombospondin-1 OS=Homo sapiens OX=9606 GN=THBS1 PE=1 SV=2	THBS1	5.16149	7.93338	5.0163	2.77189	-0.145185
P61978	Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens OX=9606 GN=HNRNPK PE=1 SV=1	HNRNPK	6.08745	7.64824	7.03583	1.56079	0.948382
P38646	Stress-70 protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPA9 PE=1 SV=2	HSPA9	6.10193	7.51812	6.03513	1.41619	-0.0668009
Q08380	Galectin-3-binding protein OS=Homo sapiens OX=9606 GN=LGALS3BP PE=1 SV=1	LGALS3BP	4.38543	8.19912	6.93413	3.81369	2.5487
A0A0J9YYL3	Poly(U)-binding-splicing factor PUF60 (Fragment) OS=Homo sapiens OX=9606 GN=PUF60 PE=1 SV=1		6.44378	7.36021	6.91388	0.916438	0.470106
P62241	40S ribosomal protein S8 OS=Homo sapiens OX=9606 GN=RPS8 PE=1 SV=2	RPS8	6.31666	7.33313	6.00722	1.01647	-0.309444
P52272	Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens OX=9606 GN=HNRNPM PE=1 SV=3	HNRNPM	6.49413	6.57937	7.23246	0.0852454	0.738331
O75643	U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens OX=9606 GN=SNRNP200 PE=1 SV=2	SNRNP200	5.85578	6.6373	6.98209	0.781516	1.1263
Q9UJV9	Probable ATP-dependent RNA helicase DDX41 OS=Homo sapiens OX=9606 GN=DDX41 PE=1 SV=2	DDX41	6.07067	6.73867	7.32753	0.667999	1.25686
P61247	40S ribosomal protein S3a OS=Homo sapiens OX=9606 GN=RPS3A PE=1 SV=2	RPS3A	8.20849	8.81389	8.66969	0.605406	0.461201
P07900	Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5	HSP90AA1	5.61177	7.7731	6.91078	2.16134	1.29902
A0A0G2JIW1	Heat shock 70 kDa protein 1B OS=Homo sapiens OX=9606 GN=HSPA1B PE=1 SV=1		6.13176	7.44595	5.91731	1.31419	-0.214449
P31942	Heterogeneous nuclear ribonucleoprotein H3 OS=Homo sapiens OX=9606 GN=HNRNPH3 PE=1 SV=2	HNRNPH3	5.43801	7.05181	7.67881	1.6138	2.2408
P62277	40S ribosomal protein S13 OS=Homo sapiens OX=9606 GN=RPS13 PE=1 SV=2	RPS13	6.52925	7.59608	6.07752	1.06682	-0.451733
G3V203	60S ribosomal protein L18 OS=Homo sapiens OX=9606 GN=RPL18 PE=1 SV=1	RPL18	6.82006	7.00219	6.50102	0.182131	-0.319042
P62424	60S ribosomal protein L7a OS=Homo sapiens OX=9606 GN=RPL7A PE=1 SV=2	RPL7A	6.8264	7.21204	6.61454	0.385639	-0.211858
P12814	Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2	ACTN1	5.1	7.70001	6.20424	2.60001	1.10424
E9PDF6	Unconventional myosin-Ib OS=Homo sapiens OX=9606 GN=MYO1B PE=1 SV=1	MYO1B	5.47116	7.70775	5.78419	2.23659	0.313039
A5YKK6	CCR4-NOT transcription complex subunit 1 OS=Homo sapiens OX=9606 GN=CNOT1 PE=1 SV=2	CNOT1	5.40791	7.51767	5.6418	2.10976	0.23389
O75367	Core histone macro-H2A.1 OS=Homo sapiens OX=9606 GN=H2AFY PE=1 SV=4	H2AFY	6.15936	6.23507	7.46665	0.0757135	1.30729
Q14204	Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=5	DYNC1H1	5.86819	6.82089	6.5852	0.952691	0.717002
Q02878	60S ribosomal protein L6 OS=Homo sapiens OX=9606 GN=RPL6 PE=1 SV=3	RPL6	6.68381	7.24375	6.46594	0.559947	-0.217868
P12236	ADP/ATP translocase 3 OS=Homo sapiens OX=9606 GN=SLC25A6 PE=1 SV=4	SLC25A6	6.09338	7.25456	5.85093	1.16118	-0.242457
Q12904	Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 OS=Homo sapiens OX=9606 GN=AIMP1 PE=1 SV=2	AIMP1	4.1878	7.97665	4.84209	3.78885	0.65429
Q8IUE6	Histone H2A type 2-B OS=Homo sapiens OX=9606 GN=HIST2H2AB PE=1 SV=3	HIST2H2AB	4.50114	5.46728	5.58558	0.966139	1.08444
P40429	60S ribosomal protein L13a OS=Homo sapiens OX=9606 GN=RPL13A PE=1 SV=2	RPL13A	6.70558	6.86812	6.42586	0.162539	-0.27972
O43707	Alpha-actinin-4 OS=Homo sapiens OX=9606 GN=ACTN4 PE=1 SV=2	ACTN4	5.04242	7.15287	5.39782	2.11044	0.355398
P98160	Basement membrane-specific heparan sulfate proteoglycan core protein OS=Homo sapiens OX=9606 GN=HSPG2 PE=1 SV=4	HSPG2	4.74144	7.29976	5.83509	2.55832	1.09364
Q5T4S7	E3 ubiquitin-protein ligase UBR4 OS=Homo sapiens OX=9606 GN=UBR4 PE=1 SV=1	UBR4	4.98397	7.1482	5.51592	2.16422	0.531943
P26373	60S ribosomal protein L13 OS=Homo sapiens OX=9606 GN=RPL13 PE=1 SV=4	RPL13	6.35464	7.0433	6.75938	0.688664	0.404742
A0A087WTT1	Polyadenylate-binding protein OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=1		5.75893	7.69125	5.99797	1.93231	0.239042
Q6P2Q9	Pre-mRNA-processing-splicing factor 8 OS=Homo sapiens OX=9606 GN=PRPF8 PE=1 SV=2	PRPF8	5.4371	6.88967	6.92097	1.45257	1.48387
Q08211	ATP-dependent RNA helicase A OS=Homo sapiens OX=9606 GN=DHX9 PE=1 SV=4	DHX9	5.73756	6.3601	7.34144	0.622543	1.60388
A0A2R8YCH5	Catenin beta-1 (Fragment) OS=Homo sapiens OX=9606 GN=CTNNB1 PE=1 SV=1		5.05198	7.48242	5.58753	2.43045	0.535556
P12111	Collagen alpha-3(VI) chain OS=Homo sapiens OX=9606 GN=COL6A3 PE=1 SV=5	COL6A3	5.61449	7.13379	5.96047	1.5193	0.345982
Q9BUJ2	Heterogeneous nuclear ribonucleoprotein U-like protein 1 OS=Homo sapiens OX=9606 GN=HNRNPUL1 PE=1 SV=2	HNRNPUL1	5.39287	7.15643	7.08554	1.76356	1.69268
B4DY08	Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens OX=9606 GN=HNRNPC PE=1 SV=1	HNRNPC	6.59132	6.48795	7.23607	-0.103373	0.644747
Q9BXA6	Testis-specific serine/threonine-protein kinase 6 OS=Homo sapiens OX=9606 GN=TSSK6 PE=1 SV=1	TSSK6	7.368	6.58391	5.72922	-0.784089	-1.63878
P36578	60S ribosomal protein L4 OS=Homo sapiens OX=9606 GN=RPL4 PE=1 SV=5	RPL4	7.06158	7.12844	6.61044	0.0668588	-0.451139
A0A0J9YWL0	Beta/gamma crystallin domain-containing protein 1 OS=Homo sapiens OX=9606 GN=CRYBG1 PE=1 SV=1	AIM1; CRYBG1	4.75255	7.68147	5.49567	2.92892	0.743116
P53675	Clathrin heavy chain 2 OS=Homo sapiens OX=9606 GN=CLTCL1 PE=1 SV=2	CLTCL1	3	6.05693	3	3.05693	0
Q5T5P2	Sickle tail protein homolog OS=Homo sapiens OX=9606 GN=KIAA1217 PE=1 SV=2	KIAA1217	5.25866	7.2886	6.29699	2.02993	1.03832
P23396	40S ribosomal protein S3 OS=Homo sapiens OX=9606 GN=RPS3 PE=1 SV=2	RPS3	6.16623	7.57497	6.48446	1.40875	0.318232
P62906	60S ribosomal protein L10a OS=Homo sapiens OX=9606 GN=RPL10A PE=1 SV=2	RPL10A	6.95324	6.98021	6.70084	0.0269714	-0.252394
