Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,Reactome Gene Sets,6,R-HSA-72766,Translation,,-46,14,26,30244,292,407,55,14,1.7,1615|1968|1974|1981|2058|2617|3035|3376|3646|3735|3921|4141|4677|5859|5917|6185|6192|6218|6224|6748|6897|7965|8661|8662|8663|8664|8665|8667|8668|8890|8891|9255|9521|9801|10480|10573|23107|27335|29074|51069|51386|51520|51649|54148|54948|55037|55168|63875|64965|64978|65008|65080|65993|80222|84545,DARS1|EIF2S3|EIF4A2|EIF4G1|EPRS1|GARS1|HARS1|IARS1|EIF3E|KARS1|RPSA|MARS1|NARS1|QARS1|RARS1|RPN2|RPS4Y1|RPS17|RPS20|SSR4|TARS1|AIMP2|EIF3A|EIF3B|EIF3C|EIF3D|EIF3F|EIF3H|EIF3I|EIF2B4|EIF2B3|AIMP1|EEF1E1|MRPL19|EIF3M|MRPL28|MRPS27|EIF3K|MRPL18|MRPL2|EIF3L|LARS1|MRPS23|MRPL39|MRPL16|PTCD3|MRPS18A|MRPL17|MRPS9|MRPL38|MRPL1|MRPL44|MRPS34|TARS2|MRPL43,-42
MyList,GO Biological Processes,19,GO:0006412,translation,19_GO:0008152 metabolic process,-44,11,24,30244,389,407,60,15,1.8,1615|1654|1968|1974|1981|2058|2617|3035|3376|3646|3735|3921|4141|4677|4686|5859|5917|6192|6218|6224|6897|7965|8661|8662|8663|8664|8665|8667|8668|8890|8891|9100|9255|9521|9801|10399|10480|10573|23107|23367|25929|27335|29074|51069|51386|51520|51649|54148|54948|55037|55168|63875|64965|64978|65008|65080|65993|80222|84545|123283,DARS1|DDX3X|EIF2S3|EIF4A2|EIF4G1|EPRS1|GARS1|HARS1|IARS1|EIF3E|KARS1|RPSA|MARS1|NARS1|NCBP1|QARS1|RARS1|RPS4Y1|RPS17|RPS20|TARS1|AIMP2|EIF3A|EIF3B|EIF3C|EIF3D|EIF3F|EIF3H|EIF3I|EIF2B4|EIF2B3|USP10|AIMP1|EEF1E1|MRPL19|RACK1|EIF3M|MRPL28|MRPS27|LARP1|GEMIN5|EIF3K|MRPL18|MRPL2|EIF3L|LARS1|MRPS23|MRPL39|MRPL16|PTCD3|MRPS18A|MRPL17|MRPS9|MRPL38|MRPL1|MRPL44|MRPS34|TARS2|MRPL43|TARS3,-41
MyList,GO Biological Processes,19,GO:0043043,peptide biosynthetic process,19_GO:0008152 metabolic process,-43,11,23,30244,418,407,60,15,1.8,1615|1654|1968|1974|1981|2058|2617|3035|3376|3646|3735|3921|4141|4677|4686|5859|5917|6192|6218|6224|6897|7965|8661|8662|8663|8664|8665|8667|8668|8890|8891|9100|9255|9521|9801|10399|10480|10573|23107|23367|25929|27335|29074|51069|51386|51520|51649|54148|54948|55037|55168|63875|64965|64978|65008|65080|65993|80222|84545|123283,DARS1|DDX3X|EIF2S3|EIF4A2|EIF4G1|EPRS1|GARS1|HARS1|IARS1|EIF3E|KARS1|RPSA|MARS1|NARS1|NCBP1|QARS1|RARS1|RPS4Y1|RPS17|RPS20|TARS1|AIMP2|EIF3A|EIF3B|EIF3C|EIF3D|EIF3F|EIF3H|EIF3I|EIF2B4|EIF2B3|USP10|AIMP1|EEF1E1|MRPL19|RACK1|EIF3M|MRPL28|MRPS27|LARP1|GEMIN5|EIF3K|MRPL18|MRPL2|EIF3L|LARS1|MRPS23|MRPL39|MRPL16|PTCD3|MRPS18A|MRPL17|MRPS9|MRPL38|MRPL1|MRPL44|MRPS34|TARS2|MRPL43|TARS3,-39
MyList,GO Biological Processes,19,GO:0006518,peptide metabolic process,19_GO:0008152 metabolic process,-42,9.3,22,30244,513,407,64,16,1.8,1362|1522|1615|1654|1859|1968|1974|1981|2058|2617|3035|3376|3646|3735|3921|4141|4677|4686|5034|5859|5917|6192|6218|6224|6897|7965|8661|8662|8663|8664|8665|8667|8668|8890|8891|9100|9255|9521|9801|10399|10480|10573|23107|23367|25929|27335|29074|51069|51386|51520|51649|54148|54948|55037|55168|63875|64965|64978|65008|65080|65993|80222|84545|123283,CPD|CTSZ|DARS1|DDX3X|DYRK1A|EIF2S3|EIF4A2|EIF4G1|EPRS1|GARS1|HARS1|IARS1|EIF3E|KARS1|RPSA|MARS1|NARS1|NCBP1|P4HB|QARS1|RARS1|RPS4Y1|RPS17|RPS20|TARS1|AIMP2|EIF3A|EIF3B|EIF3C|EIF3D|EIF3F|EIF3H|EIF3I|EIF2B4|EIF2B3|USP10|AIMP1|EEF1E1|MRPL19|RACK1|EIF3M|MRPL28|MRPS27|LARP1|GEMIN5|EIF3K|MRPL18|MRPL2|EIF3L|LARS1|MRPS23|MRPL39|MRPL16|PTCD3|MRPS18A|MRPL17|MRPS9|MRPL38|MRPL1|MRPL44|MRPS34|TARS2|MRPL43|TARS3,-38
MyList,GO Biological Processes,19,GO:0043604,amide biosynthetic process,19_GO:0008152 metabolic process,-40,8.8,21,30244,542,407,64,16,1.8,31|38|1615|1654|1968|1974|1981|2058|2181|2617|3035|3376|3646|3735|3921|4141|4677|4686|5859|5917|6192|6218|6224|6897|7965|8604|8661|8662|8663|8664|8665|8667|8668|8890|8891|9100|9255|9521|9801|10399|10480|10573|23107|23367|25929|27335|29074|51069|51386|51520|51649|54148|54948|55037|55168|63875|64965|64978|65008|65080|65993|80222|84545|123283,ACACA|ACAT1|DARS1|DDX3X|EIF2S3|EIF4A2|EIF4G1|EPRS1|ACSL3|GARS1|HARS1|IARS1|EIF3E|KARS1|RPSA|MARS1|NARS1|NCBP1|QARS1|RARS1|RPS4Y1|RPS17|RPS20|TARS1|AIMP2|SLC25A12|EIF3A|EIF3B|EIF3C|EIF3D|EIF3F|EIF3H|EIF3I|EIF2B4|EIF2B3|USP10|AIMP1|EEF1E1|MRPL19|RACK1|EIF3M|MRPL28|MRPS27|LARP1|GEMIN5|EIF3K|MRPL18|MRPL2|EIF3L|LARS1|MRPS23|MRPL39|MRPL16|PTCD3|MRPS18A|MRPL17|MRPS9|MRPL38|MRPL1|MRPL44|MRPS34|TARS2|MRPL43|TARS3,-37
MyList,GO Biological Processes,19,GO:0043603,amide metabolic process,19_GO:0008152 metabolic process,-35,6.4,18,30244,799,407,69,17,1.9,31|38|1362|1522|1615|1654|1859|1968|1974|1981|2058|2181|2617|3035|3376|3646|3735|3921|4141|4677|4686|5034|5518|5859|5917|6192|6218|6224|6897|7965|8604|8661|8662|8663|8664|8665|8667|8668|8890|8891|9100|9255|9521|9801|10399|10480|10573|23107|23367|25929|27335|29074|51069|51386|51520|51649|54148|54948|55037|55168|63875|64965|64978|65008|65080|65993|80222|84545|123283,ACACA|ACAT1|CPD|CTSZ|DARS1|DDX3X|DYRK1A|EIF2S3|EIF4A2|EIF4G1|EPRS1|ACSL3|GARS1|HARS1|IARS1|EIF3E|KARS1|RPSA|MARS1|NARS1|NCBP1|P4HB|PPP2R1A|QARS1|RARS1|RPS4Y1|RPS17|RPS20|TARS1|AIMP2|SLC25A12|EIF3A|EIF3B|EIF3C|EIF3D|EIF3F|EIF3H|EIF3I|EIF2B4|EIF2B3|USP10|AIMP1|EEF1E1|MRPL19|RACK1|EIF3M|MRPL28|MRPS27|LARP1|GEMIN5|EIF3K|MRPL18|MRPL2|EIF3L|LARS1|MRPS23|MRPL39|MRPL16|PTCD3|MRPS18A|MRPL17|MRPS9|MRPL38|MRPL1|MRPL44|MRPS34|TARS2|MRPL43|TARS3,-32
MyList,Reactome Gene Sets,6,R-HSA-199977,ER to Golgi Anterograde Transport,,-28,15,21,30244,154,407,32,7.9,1.3,372|829|830|832|1315|1522|2804|5537|6396|6709|6712|7280|7846|9632|9919|10121|10342|10382|10427|10484|10802|11316|22820|22870|22872|23243|26286|55291|84617|89866|347733|375056,ARCN1|CAPZA1|CAPZA2|CAPZB|COPB1|CTSZ|GOLGB1|PPP6C|SEC13|SPTAN1|SPTBN2|TUBB2A|TUBA1A|SEC24C|SEC16A|ACTR1A|TFG|TUBB4A|SEC24B|SEC23A|SEC24A|COPE|COPG1|PPP6R1|SEC31A|ANKRD28|ARFGAP3|PPP6R3|TUBB6|SEC16B|TUBB2B|MIA3,-25
MyList,Reactome Gene Sets,6,R-HSA-5653656,Vesicle-mediated transport,,-27,6.2,16,30244,673,407,56,14,1.7,161|351|372|811|829|830|832|1213|1315|1362|1522|2017|2060|2495|2804|2873|3320|3949|4035|5537|6396|6709|6712|7018|7037|7184|7280|7529|7531|7532|7846|8218|9321|9632|9919|10121|10342|10382|10427|10484|10802|11252|11316|22820|22870|22872|23243|26286|29763|51429|55291|58513|84617|89866|347733|375056,AP2A2|APP|ARCN1|CALR|CAPZA1|CAPZA2|CAPZB|CLTC|COPB1|CPD|CTSZ|CTTN|EPS15|FTH1|GOLGB1|GPS1|HSP90AA1|LDLR|LRP1|PPP6C|SEC13|SPTAN1|SPTBN2|TF|TFRC|HSP90B1|TUBB2A|YWHAB|YWHAE|YWHAG|TUBA1A|CLTCL1|TRIP11|SEC24C|SEC16A|ACTR1A|TFG|TUBB4A|SEC24B|SEC23A|SEC24A|PACSIN2|COPE|COPG1|PPP6R1|SEC31A|ANKRD28|ARFGAP3|PACSIN3|SNX9|PPP6R3|EPS15L1|TUBB6|SEC16B|TUBB2B|MIA3,-24
MyList,Reactome Gene Sets,6,R-HSA-446203,Asparagine N-linked glycosylation,,-27,9.8,18,30244,304,407,40,9.8,1.5,372|811|829|830|832|1315|1522|2673|2720|2804|5476|5537|5700|6185|6396|6709|6712|7280|7415|7846|9632|9919|10121|10342|10382|10427|10484|10802|11316|22820|22870|22872|23243|26286|55291|56886|84617|89866|347733|375056,ARCN1|CALR|CAPZA1|CAPZA2|CAPZB|COPB1|CTSZ|GFPT1|GLB1|GOLGB1|CTSA|PPP6C|PSMC1|RPN2|SEC13|SPTAN1|SPTBN2|TUBB2A|VCP|TUBA1A|SEC24C|SEC16A|ACTR1A|TFG|TUBB4A|SEC24B|SEC23A|SEC24A|COPE|COPG1|PPP6R1|SEC31A|ANKRD28|ARFGAP3|PPP6R3|UGGT1|TUBB6|SEC16B|TUBB2B|MIA3,-24
MyList,Reactome Gene Sets,6,R-HSA-948021,Transport to the Golgi and subsequent modification,,-25,13,19,30244,185,407,32,7.9,1.3,372|829|830|832|1315|1522|2804|5537|6396|6709|6712|7280|7846|9632|9919|10121|10342|10382|10427|10484|10802|11316|22820|22870|22872|23243|26286|55291|84617|89866|347733|375056,ARCN1|CAPZA1|CAPZA2|CAPZB|COPB1|CTSZ|GOLGB1|PPP6C|SEC13|SPTAN1|SPTBN2|TUBB2A|TUBA1A|SEC24C|SEC16A|ACTR1A|TFG|TUBB4A|SEC24B|SEC23A|SEC24A|COPE|COPG1|PPP6R1|SEC31A|ANKRD28|ARFGAP3|PPP6R3|TUBB6|SEC16B|TUBB2B|MIA3,-23
MyList,Reactome Gene Sets,6,R-HSA-199991,Membrane Trafficking,,-25,6.1,15,30244,634,407,52,13,1.7,161|351|372|829|830|832|1213|1315|1362|1522|2017|2060|2495|2804|2873|3949|5537|6396|6709|6712|7018|7037|7280|7529|7531|7532|7846|8218|9321|9632|9919|10121|10342|10382|10427|10484|10802|11252|11316|22820|22870|22872|23243|26286|29763|51429|55291|58513|84617|89866|347733|375056,AP2A2|APP|ARCN1|CAPZA1|CAPZA2|CAPZB|CLTC|COPB1|CPD|CTSZ|CTTN|EPS15|FTH1|GOLGB1|GPS1|LDLR|PPP6C|SEC13|SPTAN1|SPTBN2|TF|TFRC|TUBB2A|YWHAB|YWHAE|YWHAG|TUBA1A|CLTCL1|TRIP11|SEC24C|SEC16A|ACTR1A|TFG|TUBB4A|SEC24B|SEC23A|SEC24A|PACSIN2|COPE|COPG1|PPP6R1|SEC31A|ANKRD28|ARFGAP3|PACSIN3|SNX9|PPP6R3|EPS15L1|TUBB6|SEC16B|TUBB2B|MIA3,-22
MyList,Reactome Gene Sets,6,R-HSA-379716,Cytosolic tRNA aminoacylation,,-22,46,26,30244,24,407,15,3.7,0.93,1615|2058|2617|3035|3376|3735|4141|4677|5859|5917|6897|7965|9255|9521|51520,DARS1|EPRS1|GARS1|HARS1|IARS1|KARS1|MARS1|NARS1|QARS1|RARS1|TARS1|AIMP2|AIMP1|EEF1E1|LARS1,-20
MyList,Reactome Gene Sets,6,R-HSA-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",,-21,5.2,13,30244,722,407,51,13,1.6,87|667|832|857|1213|1362|1495|1499|2017|2873|3320|5516|5518|5747|5783|5905|6396|6709|7037|7204|7280|7415|7431|7514|7529|7531|7532|7846|8239|8502|9738|9828|9855|10163|10382|10576|11180|23191|23197|26092|26286|51479|55288|55746|79180|79598|84617|85440|157769|284119|347733,ACTN1|DST|CAPZB|CAV1|CLTC|CPD|CTNNA1|CTNNB1|CTTN|GPS1|HSP90AA1|PPP2CB|PPP2R1A|PTK2|PTPN13|RANGAP1|SEC13|SPTAN1|TFRC|TRIO|TUBB2A|VCP|VIM|XPO1|YWHAB|YWHAE|YWHAG|TUBA1A|USP9X|PKP4|CCP110|ARHGEF17|FARP2|WASF2|TUBB4A|CCT2|WDR6|CYFIP1|FAF2|TOR1AIP1|ARFGAP3|ANKFY1|RHOT1|NUP133|EFHD2|CEP97|TUBB6|DOCK7|FAM91A1|CAVIN1|TUBB2B,-19
MyList,GO Biological Processes,19,GO:0002183,cytoplasmic translational initiation,19_GO:0008152 metabolic process,-21,37,24,30244,32,407,16,3.9,0.96,1968|1974|1981|3646|4686|8661|8662|8663|8664|8665|8667|8668|8891|10480|27335|51386,EIF2S3|EIF4A2|EIF4G1|EIF3E|NCBP1|EIF3A|EIF3B|EIF3C|EIF3D|EIF3F|EIF3H|EIF3I|EIF2B3|EIF3M|EIF3K|EIF3L,-19
MyList,Reactome Gene Sets,6,R-HSA-194315,Signaling by Rho GTPases,,-21,5.3,13,30244,706,407,50,12,1.6,87|667|832|857|1213|1362|1495|1499|2017|2873|3320|5516|5518|5747|5783|5905|6396|6709|7037|7204|7280|7415|7431|7514|7529|7531|7532|7846|8239|8502|9738|9828|9855|10163|10382|10576|11180|23191|23197|26092|26286|51479|55746|79180|79598|84617|85440|157769|284119|347733,ACTN1|DST|CAPZB|CAV1|CLTC|CPD|CTNNA1|CTNNB1|CTTN|GPS1|HSP90AA1|PPP2CB|PPP2R1A|PTK2|PTPN13|RANGAP1|SEC13|SPTAN1|TFRC|TRIO|TUBB2A|VCP|VIM|XPO1|YWHAB|YWHAE|YWHAG|TUBA1A|USP9X|PKP4|CCP110|ARHGEF17|FARP2|WASF2|TUBB4A|CCT2|WDR6|CYFIP1|FAF2|TOR1AIP1|ARFGAP3|ANKFY1|NUP133|EFHD2|CEP97|TUBB6|DOCK7|FAM91A1|CAVIN1|TUBB2B,-19
