Cluster,Score,Type,Gene,Symbol,Network
2,9.114285714285714,Clustered,29074,MRPL18,MyList_SUB1
2,9.114285714285714,Clustered,65993,MRPS34,MyList_SUB1
2,9.114285714285714,Clustered,65080,MRPL44,MyList_SUB1
2,9.114285714285714,Clustered,51069,MRPL2,MyList_SUB1
2,9.114285714285714,Clustered,63875,MRPL17,MyList_SUB1
2,9.114285714285714,Clustered,55168,MRPS18A,MyList_SUB1
2,9.114285714285714,Clustered,64978,MRPL38,MyList_SUB1
2,9.114285714285714,Clustered,8662,EIF3B,MyList_SUB1
2,9.114285714285714,Clustered,8663,EIF3C,MyList_SUB1
2,9.114285714285714,Clustered,1981,EIF4G1,MyList_SUB1
2,9.114285714285714,Seed,27335,EIF3K,MyList_SUB1
2,9.114285714285714,Clustered,8664,EIF3D,MyList_SUB1
2,9.114285714285714,Clustered,1968,EIF2S3,MyList_SUB1
2,9.114285714285714,Clustered,1974,EIF4A2,MyList_SUB1
2,9.114285714285714,Clustered,54148,MRPL39,MyList_SUB1
2,9.114285714285714,Clustered,10573,MRPL28,MyList_SUB1
2,9.114285714285714,Clustered,8665,EIF3F,MyList_SUB1
2,9.114285714285714,Clustered,8668,EIF3I,MyList_SUB1
2,9.114285714285714,Clustered,9801,MRPL19,MyList_SUB1
2,9.114285714285714,Clustered,8661,EIF3A,MyList_SUB1
2,9.114285714285714,Clustered,8667,EIF3H,MyList_SUB1
2,9.114285714285714,Clustered,51386,EIF3L,MyList_SUB1
2,9.114285714285714,Clustered,84545,MRPL43,MyList_SUB1
2,9.114285714285714,Clustered,23107,MRPS27,MyList_SUB1
2,9.114285714285714,Clustered,55037,PTCD3,MyList_SUB1
2,9.114285714285714,Clustered,10480,EIF3M,MyList_SUB1
2,9.114285714285714,Clustered,6224,RPS20,MyList_SUB1
2,9.114285714285714,Clustered,3646,EIF3E,MyList_SUB1
2,9.114285714285714,Clustered,6192,RPS4Y1,MyList_SUB1
2,9.114285714285714,Clustered,10399,RACK1,MyList_SUB1
2,9.114285714285714,Clustered,64965,MRPS9,MyList_SUB1
2,9.114285714285714,Clustered,6218,RPS17,MyList_SUB1
2,9.114285714285714,Clustered,51649,MRPS23,MyList_SUB1
2,9.114285714285714,Clustered,3921,RPSA,MyList_SUB1
2,9.114285714285714,Clustered,54948,MRPL16,MyList_SUB1
1,7.3478260869565215,Clustered,10342,TFG,MyList_SUB1
1,7.3478260869565215,Clustered,8218,CLTCL1,MyList_SUB1
1,7.3478260869565215,Clustered,5917,RARS1,MyList_SUB1
1,7.3478260869565215,Clustered,1503,CTPS1,MyList_SUB1
1,7.3478260869565215,Clustered,8065,CUL5,MyList_SUB1
1,7.3478260869565215,Clustered,89866,SEC16B,MyList_SUB1
1,7.3478260869565215,Clustered,6396,SEC13,MyList_SUB1
1,7.3478260869565215,Clustered,10802,SEC24A,MyList_SUB1
1,7.3478260869565215,Clustered,2617,GARS1,MyList_SUB1
1,7.3478260869565215,Clustered,1213,CLTC,MyList_SUB1
1,7.3478260869565215,Clustered,10382,TUBB4A,MyList_SUB1
1,7.3478260869565215,Clustered,3735,KARS1,MyList_SUB1
1,7.3478260869565215,Clustered,1540,CYLD,MyList_SUB1
1,7.3478260869565215,Clustered,2181,ACSL3,MyList_SUB1
1,7.3478260869565215,Clustered,558,AXL,MyList_SUB1
1,7.3478260869565215,Clustered,5859,QARS1,MyList_SUB1
1,7.3478260869565215,Clustered,2058,EPRS1,MyList_SUB1
1,7.3478260869565215,Clustered,832,CAPZB,MyList_SUB1
1,7.3478260869565215,Clustered,10427,SEC24B,MyList_SUB1
1,7.3478260869565215,Clustered,6950,TCP1,MyList_SUB1
1,7.3478260869565215,Clustered,10694,CCT8,MyList_SUB1
1,7.3478260869565215,Clustered,5831,PYCR1,MyList_SUB1
1,7.3478260869565215,Clustered,506,ATP5F1B,MyList_SUB1
1,7.3478260869565215,Clustered,3615,IMPDH2,MyList_SUB1
1,7.3478260869565215,Clustered,9919,SEC16A,MyList_SUB1
1,7.3478260869565215,Clustered,4141,MARS1,MyList_SUB1
1,7.3478260869565215,Clustered,5537,PPP6C,MyList_SUB1
1,7.3478260869565215,Clustered,9632,SEC24C,MyList_SUB1
1,7.3478260869565215,Clustered,23517,MTREX,MyList_SUB1
1,7.3478260869565215,Clustered,10575,CCT4,MyList_SUB1
1,7.3478260869565215,Clustered,3376,IARS1,MyList_SUB1
1,7.3478260869565215,Clustered,372,ARCN1,MyList_SUB1
1,7.3478260869565215,Clustered,38,ACAT1,MyList_SUB1
1,7.3478260869565215,Clustered,3320,HSP90AA1,MyList_SUB1
