"Gene_A","Gene_B","interaction","name","Name_A","Name_B","SCORE","selected","shared interaction","shared name","source","support","target","TYPE"
"7514","8125","Direct","","XPO1","ANP32A","847","false","Direct","","7514","{""StringDB"": ""physical"", ""StringEvidence"": ""textmining:0.880,database:0.791,experiments:0.239,coexpression:0.136"", ""InWeb_IM"": ""experimental"", ""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""11565755"", ""BioGrid_Type"": ""Affinity Capture-Western"", ""String_Score_Physical"": 847, ""String_Score_Combined"": 984}","8125","Direct"
"7514","80304","Direct","","XPO1","WDCP","294","false","Direct","","7514","{""InWeb_IM"": ""experimental"", ""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""26673895"", ""BioGrid_Type"": ""Affinity Capture-MS""}","80304","Direct"
"7514","7965","Direct","","XPO1","AIMP2","208","false","Direct","","7514","{""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""35831314,35546148"", ""BioGrid_Type"": ""Affinity Capture-MS,Co-fractionation""}","7965","Direct"
"7514","79598","Direct","","XPO1","CEP97","294","false","Direct","","7514","{""InWeb_IM"": ""experimental"", ""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""26673895"", ""BioGrid_Type"": ""Affinity Capture-MS""}","79598","Direct"
"7514","79443","Direct","","XPO1","FYCO1","294","false","Direct","","7514","{""InWeb_IM"": ""experimental"", ""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""26673895"", ""BioGrid_Type"": ""Affinity Capture-MS""}","79443","Direct"
"7514","790","Direct","","XPO1","CAD","493","false","Direct","","7514","{""StringDB"": ""physical"", ""StringEvidence"": ""experiments:0.472,coexpression:0.070"", ""InWeb_IM"": ""inference"", ""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""26344197,22939629"", ""BioGrid_Type"": ""Co-fractionation"", ""BioGrid_Score"": ""0.836,0.095873338"", ""String_Score_Physical"": 493, ""String_Score_Combined"": 529}","790","Direct"
"7514","7536","Direct","","XPO1","SF1","294","false","Direct","","7514","{""StringDB"": ""functional"", ""StringEvidence"": ""coexpression:0.106,textmining:0.083"", ""InWeb_IM"": ""inference"", ""String_Score_Combined"": 213, ""String_Score_Physical"": 294}","7536","Direct"
"7514","7532","Direct","","XPO1","YWHAG","900","false","Direct","","7514","{""StringDB"": ""physical"", ""StringEvidence"": ""database:0.896,textmining:0.150,coexpression:0.044"", ""InWeb_IM"": ""experimental"", ""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""26673895"", ""BioGrid_Type"": ""Affinity Capture-MS"", ""String_Score_Physical"": 900, ""String_Score_Combined"": 918}","7532","Direct"
"7514","7531","Direct","","XPO1","YWHAE","909","false","Direct","","7514","{""StringDB"": ""physical"", ""StringEvidence"": ""database:0.896,textmining:0.269,experiments:0.092,coexpression:0.073"", ""InWeb_IM"": ""inference"", ""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""35831314,23472066,22863883"", ""BioGrid_Type"": ""Affinity Capture-MS,Co-fractionation"", ""String_Score_Physical"": 909, ""String_Score_Combined"": 938}","7531","Direct"
"7514","7529","Direct","","XPO1","YWHAB","900","false","Direct","","7514","{""StringDB"": ""physical"", ""StringEvidence"": ""database:0.896,textmining:0.172,coexpression:0.097"", ""String_Score_Physical"": 900, ""String_Score_Combined"": 925}","7529","Direct"
"7465","9853","Direct","","WEE1","RUSC2","235","false","Direct","","7465","{""StringDB"": ""physical"", ""StringEvidence"": ""experiments:0.202"", ""InWeb_IM"": ""experimental"", ""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""26496610"", ""BioGrid_Type"": ""Affinity Capture-MS"", ""String_Score_Physical"": 235, ""String_Score_Combined"": 235}","9853","Direct"
"7465","8665","Direct","","WEE1","EIF3F","208","false","Direct","","7465","{""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""32707033"", ""BioGrid_Type"": ""Affinity Capture-MS"", ""BioGrid_Score"": ""102.0""}","8665","Direct"
"7465","7529","Direct","","WEE1","YWHAB","303","false","Direct","","7465","{""StringDB"": ""physical"", ""StringEvidence"": ""textmining:0.706,experiments:0.273"", ""OmniPath"": ""omnipath,kinaseextra"", ""OmniPath_Reference"": ""DOMINO;HPRD;IntAct;Lit-BM-17;PhosphoPoint;SPIKE_LC"", ""InWeb_IM"": ""experimental"", ""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""15324660,10775038"", ""BioGrid_Type"": ""Two-hybrid,Affinity Capture-MS,Affinity Capture-Western"", ""String_Score_Physical"": 303, ""String_Score_Combined"": 795}","7529","Direct"
"7465","7514","Direct","","WEE1","XPO1","294","false","Direct","","7465","{""StringDB"": ""functional"", ""StringEvidence"": ""textmining:0.328,coexpression:0.058"", ""InWeb_IM"": ""experimental"", ""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""26673895"", ""BioGrid_Type"": ""Affinity Capture-MS"", ""String_Score_Combined"": 392, ""String_Score_Physical"": 294}","7514","Direct"
"7436","7804","Direct","","VLDLR","LRP8","928","false","Direct","","7436","{""StringDB"": ""physical"", ""StringEvidence"": ""textmining:0.989,database:0.896,experiments:0.283"", ""OmniPath"": ""pathwayextra"", ""OmniPath_Reference"": ""Wang"", ""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""30873003"", ""BioGrid_Type"": ""FRET,Affinity Capture-Western"", ""String_Score_Physical"": 928, ""String_Score_Combined"": 932}","7804","Direct"
"7431","9958","Direct","","VIM","USP15","208","false","Direct","","7431","{""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""31952546"", ""BioGrid_Type"": ""Affinity Capture-MS""}","9958","Direct"
"7431","9738","Direct","","VIM","CCP110","208","false","Direct","","7431","{""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""34079125"", ""BioGrid_Type"": ""Proximity Label-MS"", ""BioGrid_Score"": ""11.67""}","9738","Direct"
"7431","9530","Direct","","VIM","BAG4","208","false","Direct","","7431","{""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""34133714"", ""BioGrid_Type"": ""Two-hybrid""}","9530","Direct"
"7431","91607","Direct","","VIM","SLFN11","208","false","Direct","","7431","{""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""33863777"", ""BioGrid_Type"": ""Proximity Label-MS""}","91607","Direct"
"7431","8994","Direct","","VIM","LIMD1","208","false","Direct","","7431","{""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""34079125"", ""BioGrid_Type"": ""Proximity Label-MS"", ""BioGrid_Score"": ""17.28""}","8994","Direct"
"7431","8880","Direct","","VIM","FUBP1","294","false","Direct","","7431","{""InWeb_IM"": ""experimental"", ""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""16169070"", ""BioGrid_Type"": ""Two-hybrid"", ""BioGrid_Score"": ""4.0""}","8880","Direct"
"7431","8878","Direct","","VIM","SQSTM1","600","false","Direct","","7431","{""StringDB"": ""physical"", ""StringEvidence"": ""experiments:0.583,textmining:0.155"", ""InWeb_IM"": ""experimental"", ""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""28968743"", ""BioGrid_Type"": ""Affinity Capture-Western"", ""String_Score_Physical"": 600, ""String_Score_Combined"": 662}","8878","Direct"
