Cluster,Score,Type,Gene,Symbol,Network
1,2.6363636363636362,Clustered,1108,CHD4,MyList_SUB1
1,2.6363636363636362,Clustered,24144,TFIP11,MyList_SUB1
1,2.6363636363636362,Clustered,6605,SMARCE1,MyList_SUB1
1,2.6363636363636362,Clustered,79576,NKAP,MyList_SUB1
1,2.6363636363636362,Clustered,27339,PRPF19,MyList_SUB1
1,2.6363636363636362,Seed,5725,PTBP1,MyList_SUB1
1,2.6363636363636362,Clustered,9987,HNRNPDL,MyList_SUB1
1,2.6363636363636362,Clustered,9939,RBM8A,MyList_SUB1
1,2.6363636363636362,Clustered,3184,HNRNPD,MyList_SUB1
1,2.6363636363636362,Clustered,6598,SMARCB1,MyList_SUB1
1,2.6363636363636362,Clustered,6601,SMARCC2,MyList_SUB1
2,1.5,Clustered,22985,ACIN1,MyList_SUB1
2,1.5,Clustered,10921,RNPS1,MyList_SUB1
2,1.5,Clustered,9716,AQR,MyList_SUB1
2,1.5,Clustered,5930,RBBP6,MyList_SUB1
2,1.5,Clustered,22938,SNW1,MyList_SUB1
2,1.5,Seed,5411,PNN,MyList_SUB1
