"canonicalName","DEGREE","Gene","id","MCODE_CLUSTER_ID","MCODE_SCORE","MCODE_TYPE","name","selected","shared name","Symbol"
"PNN","9.0","5411","5411","2.0","1.5","Seed","5411","false","5411","PNN"
"PTBP1","8.0","5725","5725","1.0","2.6363636363636362","Seed","5725","false","5725","PTBP1"
"RBBP6","6.0","5930","5930","2.0","1.5","Clustered","5930","false","5930","RBBP6"
"SAFB","3.0","6294","6294","0.0","0.0","","6294","false","6294","SAFB"
"SMARCB1","8.0","6598","6598","1.0","2.6363636363636362","Clustered","6598","false","6598","SMARCB1"
"SMARCC2","7.0","6601","6601","1.0","2.6363636363636362","Clustered","6601","false","6601","SMARCC2"
"SMARCE1","7.0","6605","6605","1.0","2.6363636363636362","Clustered","6605","false","6605","SMARCE1"
"AKAP17A","2.0","8227","8227","0.0","0.0","","8227","false","8227","AKAP17A"
"ARID1A","6.0","8289","8289","0.0","0.0","","8289","false","8289","ARID1A"
"SMARCA5","5.0","8467","8467","0.0","0.0","","8467","false","8467","SMARCA5"
"CIR1","3.0","9541","9541","0.0","0.0","","9541","false","9541","CIR1"
"AQR","7.0","9716","9716","2.0","1.5","Clustered","9716","false","9716","AQR"
"RBM8A","9.0","9939","9939","1.0","2.6363636363636362","Clustered","9939","false","9939","RBM8A"
"HNRNPDL","7.0","9987","9987","1.0","2.6363636363636362","Clustered","9987","false","9987","HNRNPDL"
"RNPS1","9.0","10921","10921","2.0","1.5","Clustered","10921","false","10921","RNPS1"
"SNW1","10.0","22938","22938","2.0","1.5","Clustered","22938","false","22938","SNW1"
"PDCD11","1.0","22984","22984","0.0","0.0","","22984","false","22984","PDCD11"
"ACIN1","8.0","22985","22985","2.0","1.5","Clustered","22985","false","22985","ACIN1"
"TFIP11","10.0","24144","24144","1.0","2.6363636363636362","Clustered","24144","false","24144","TFIP11"
"PRPF19","12.0","27339","27339","1.0","2.6363636363636362","Clustered","27339","false","27339","PRPF19"
"PBRM1","5.0","55193","55193","0.0","0.0","","55193","false","55193","PBRM1"
"NKAP","9.0","79576","79576","1.0","2.6363636363636362","Clustered","79576","false","79576","NKAP"
"RCC1","1.0","1104","1104","0.0","0.0","","1104","false","1104","RCC1"
"CHD4","19.0","1108","1108","1.0","2.6363636363636362","Clustered","1108","false","1108","CHD4"
"CP","1.0","1356","1356","0.0","0.0","","1356","false","1356","CP"
"ETF1","2.0","2107","2107","0.0","0.0","","2107","false","2107","ETF1"
"GTF2I","1.0","2969","2969","0.0","0.0","","2969","false","2969","GTF2I"
"HNRNPD","11.0","3184","3184","1.0","2.6363636363636362","Clustered","3184","false","3184","HNRNPD"
"HNRNPH3","3.0","3189","3189","0.0","0.0","","3189","false","3189","HNRNPH3"
"LYZ","1.0","4069","4069","0.0","0.0","","4069","false","4069","LYZ"
