"Gene_A","Gene_B","interaction","name","Name_A","Name_B","SCORE","selected","shared interaction","shared name","source","support","target","TYPE"
"1108","5411","Direct","","CHD4","PNN","270","false","Direct","","1108","{""StringDB"": ""physical"", ""StringEvidence"": ""experiments:0.239,coexpression:0.096,textmining:0.020"", ""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""32744500,28977666"", ""BioGrid_Type"": ""Affinity Capture-MS"", ""String_Score_Physical"": 270, ""String_Score_Combined"": 353}","5411","Direct"
"24144","5930","Direct","","TFIP11","RBBP6","208","false","Direct","","24144","{""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""34133714"", ""BioGrid_Type"": ""Two-hybrid""}","5930","Direct"
"1108","5725","Direct","","CHD4","PTBP1","270","false","Direct","","1108","{""StringDB"": ""physical"", ""StringEvidence"": ""coexpression:0.324,experiments:0.239"", ""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""28977666"", ""BioGrid_Type"": ""Affinity Capture-MS"", ""String_Score_Physical"": 270, ""String_Score_Combined"": 506}","5725","Direct"
"24144","6598","Direct","","TFIP11","SMARCB1","192","false","Direct","","24144","{""StringDB"": ""physical"", ""StringEvidence"": ""experiments:0.157,coexpression:0.049"", ""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""27229929"", ""BioGrid_Type"": ""Two-hybrid"", ""String_Score_Physical"": 192, ""String_Score_Combined"": 231}","6598","Direct"
"1108","5930","Direct","","CHD4","RBBP6","208","false","Direct","","1108","{""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""32744500"", ""BioGrid_Type"": ""Affinity Capture-MS""}","5930","Direct"
"24144","9716","Direct","","TFIP11","AQR","436","false","Direct","","24144","{""StringDB"": ""physical"", ""StringEvidence"": ""experiments:0.412,textmining:0.239,coexpression:0.068"", ""InWeb_IM"": ""inference"", ""String_Score_Physical"": 436, ""String_Score_Combined"": 599}","9716","Direct"
"1108","6294","Direct","","CHD4","SAFB","270","false","Direct","","1108","{""StringDB"": ""physical"", ""StringEvidence"": ""coexpression:0.288,experiments:0.239,textmining:0.146"", ""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""28977666"", ""BioGrid_Type"": ""Affinity Capture-MS"", ""String_Score_Physical"": 270, ""String_Score_Combined"": 556}","6294","Direct"
"24144","9987","Direct","","TFIP11","HNRNPDL","250","false","Direct","","24144","{""StringDB"": ""physical"", ""StringEvidence"": ""experiments:0.219,textmining:0.157,coexpression:0.098"", ""String_Score_Physical"": 250, ""String_Score_Combined"": 430}","9987","Direct"
"1108","6598","Direct","","CHD4","SMARCB1","258","false","Direct","","1108","{""StringDB"": ""physical"", ""StringEvidence"": ""textmining:0.294,experiments:0.226,coexpression:0.084"", ""BioGrid"": ""physical"", ""BioGrid_PubMed"": ""35831314"", ""BioGrid_Type"": ""Co-fractionation"", ""String_Score_Physical"": 258, ""String_Score_Combined"": 520}","6598","Direct"
"27339","3184","Direct","","PRPF19","HNRNPD","345","false","Direct","","27339","{""StringDB"": ""physical"", ""StringEvidence"": ""experiments:0.317,coexpression:0.073,textmining:0.063"", ""String_Score_Physical"": 345, ""String_Score_Combined"": 430}","3184","Direct"
