UniProt Accession	Gene ID	
P08670	7431	
Q13885	7280	
Q9BVA1	347733	
P04350	10382	
Q8N884	115004	
P27708	790	
P07814	2058	
A0A087WVQ6	1213	
Q71U36	7846	
Q9BUF5	84617	
P41219	5630	
Q07954	4035	
Q9C0C2	85456	
A0A0A0MS14	28466	
P54136	5917	
P14868	1615	
P41252	3376	
P07196	4747	
P47897	5859	
Q13813	6709	
Q15046	3735	
P19474	6737	
P55072	7415	
O15027	9919	
P14625	7184	
P56192	4141	
P08253	4313	
Q92734	10342	
Q9P2J5	51520	
P07996	7057	
Q08380	3959	
P07900	3320	
P12814	87	
E9PDF6	4430	
A5YKK6	23019	
Q12904	9255	
O43707	81	
P98160	3339	
Q5T4S7	23352	
A0A2R8YCH5	1499	
A0A0J9YWL0	202	
P53675	8218	
Q5T5P2	56243	
P35221	1495	
P35555	2200	
P07237	5034	
Q14152	8661	
O00468	375790	
A0A494C0G5	375790	
P17066	3310	
P17987	6950	
P26639	6897	
Q13162	10549	
Q9Y265	8607	
Q9NYU2	56886	
Q9NS15	4054	
Q13155	7965	
Q04721	4853	
H7BZB3	790	
P50990	10694	
Q13085	31	
Q8IXB1	54431	
Q9UNF0	11252	
Q14247	2017	
A0A590UJN4	-	
P50991	10575	
P62258	7531	
Q99613	8663	
H7BXH2	55291	
Q9Y262	51386	
P52907	829	
P47756	832	
H0Y4R1	3615	
P50454	871	
P42566	2060	
P20930	2312	
Q9Y678	22820	
P55884	8662	
Q92945	8570	
Q14789	2804	
F5H365	10484	
P78371	10576	
P53618	1315	
P60228	3646	
Q93100	5257	
Q93008	8239	
P63244	10399	
O15084	23243	
Q9Y4B5	23255	
O75694	9631	
O14744	10419	
O94915	285527	
A0A2R8Y5S7	5962	
O15371	8664	
O00303	8665	
P52294	3836	
Q6PKG0	23367	
Q8N2S1	8425	
G5EA31	9632	
Q58FF8	391634	
P27694	6117	
Q9Y5X1	51429	
P61981	7532	
E9PG40	351	
E7EX73	1981	
Q15084	10130	
D6REX3	22872	
Q9BYM8	10616	
A2RTX5	123283	
P02786	7037	
P31946	7529	
E7EQG2	1974	
O43324	9521	
Q13347	8668	
O60684	23633	
Q9Y5V3	9500	
P55735	6396	
B9ZVT1	389677	
Q86VP6	55832	
Q92900	5976	
P06576	506	
P16278	2720	
O75976	1362	
Q76M96	151887	
P21127	984	
Q9BQS8	79443	
O75096	4038	
O15020	6712	
O75962	7204	
P60866	6224	
Q96S55	56897	
O00571	1654	
O75746	8604	
Q15417	1266	
Q6NZI2	284119	
B3KS98	8667	
P47755	830	
P49327	2194	
Q9Y4K0	4017	
Q9Y5B6	94104	
P46019	5256	
A0A2C9F2R7	285527	
Q13501	8878	
Q9UPN7	22870	
O75170	9701	
Q13263	10155	
Q8IW35	79598	
Q7L576	23191	
F8W9J4	667	
O95163	8518	
Q05397	5747	
P51991	220988	
E7EQB2	4057	
O00743	5537	
Q9NQH7	63929	
Q96DV4	64978	
Q9ULX6	26993	
A0A0G2JS82	161	
P19022	1000	
P27797	811	
Q92600	9125	
Q7L2H7	10480	
P42285	23517	
Q8TEQ6	25929	
Q06210	2673	
A0A087WZF1	4026	
H3BPE1	23499	
F8VV59	4673	
Q15645	9319	
P30153	5518	
Q96RS0	96764	
Q12965	4643	
P49406	9801	
P22090	6192	
P08865	3921	
O43164	9867	
O00505	3839	
P11047	3915	
Q99733	4676	
Q9NR12	9260	
A0A1B0GTL5	26056	
Q14257	5955	
P13489	6050	
Q8TD19	91754	
O43815	6801	
A0A494C1B8	7174	
P30530	558	
P08579	6629	
Q14694	9100	
P41226	7318	
P98155	7436	
P62191	5700	
Q6ULP2	54812	
A0A2R8Y7G1	196	
P10644	5573	
O75175	4849	
P48444	372	
Q9BZJ0	51340	
Q14195	1809	
P31689	3301	
Q92791	10609	
P41250	2617	
Q96IF1	84962	
J3KMZ9	3949	
Q96EY7	55037	
Q8WUA2	85313	
J3KNN3	5261	
Q9H9G7	192669	
Q96A72	55110	
Q96PK6	10432; 100526737	
H7C209	91526	
Q92922	6599	
Q9Y490	7094	
Q9C035	85363	
A0A0A0MQX1	4651	
P46939	7402	
Q7Z2W4	56829	
Q9NRX2	63875	
C9JG87	54148	
Q5VYL4	-	
P39687	8125	
P23526	191	
H7BXY3	22907	
Q15018	23172	
O43852	813	
Q9UBR2	1522	
P52943	1397	
Q96N67	85440	
Q16555	1808	
C9JLU1	5437	
Q8NG27	64219	
O75477	10613	
P41091	1968	
Q9UBQ5	27335	
P01782	28451	
Q63ZY3	25959	
Q32MZ4	9208	
Q8N3R9	64398	
Q9BQA1	79084	
H7BXZ6	55288	
Q09161	4686	
Q99567	4927	
E5RGV5	7072	
A6NMN0	5255	
Q96GQ7	55661	
E9PKG1	3276	
Q9Y316	51072	
Q9BPW8	8508	
Q96JE7	89866	
A0A1B0GUS7	10497	
A0A1W2PNX8	55898	
O60232	10534	
Q9P2R3	51479	
P46060	5905	
Q9Y4W2	81887	
P62314	6632	
Q15020	9733	
Q12933	7186	
Q12923	5783	
Q96QD9	84248	
A0A087X295	11180	
P09543	1267	
J3QLR8	51649	
H0YN88	6218	
P61163	10121	
Q06481	334	
O43776	4677	
O95429	9530	
Q13884	6641	
Q9UKZ1	55571	
F8W145	4848	
H0Y9C1	246175	
B4DLN1	-	
O43303	9738	
Q5SW79	9859	
Q96A33	57003	
Q9UH17	9582	
O95793	6780	
O95714	8924	
Q7Z6Z7	10075	
Q9NWF9	54476	
Q9C026	114088	
M0R165	58513	
O14980	7514	
Q96CS3	23197	
O94887	9855	
P51570	2584	
Q9H2C0	8139	
P12081	3035	
Q16270	3490	
H7C2I6	3654	
Q8N2Y8	9853	
Q08397	4016	
Q8WUM0	55746	
Q9H8H0	25926	
P15531	4830	
P23284	5479	
P00558	5230	
Q99569	8502	
P13674	5033	
A0A494C1T9	286077	
A0A0B4J203	-	
Q01105	6418	
O95486	10802	
O95487	10427	
P28300	4015	
Q96PE2	9828	
Q5U5Q3	51320	
Q7Z7L1	91607	
Q9H4L4	26168	
P62714	5516	
Q06190	5523	
Q13033	29966	
F8W809	7296	
Q15654	7205	
O00267	6829	
Q13595	29896	
O43294	7041	
E7ERK9	8890	
P51571	6748	
D6RAA6	55161	
Q5JRA6	375056	
Q9Y4E8	9958	
Q9H6R7	80304	
P43686	5704	
D6RH20	23107	
C9JJ19	65993	
P82933	64965	
Q9BYD6	65008	
Q9NX20	54948	
Q9H0U6	29074	
C9IY40	51069	
A2IDC6	51263	
H0Y6Y8	84545	
Q9H9J2	65080	
Q5QPA5	55168	
A0A5F9UP49	51150	
A0A5F9ZHJ0	38	
H0Y6A0	26286	
Q9ULJ7	57182	
Q8NFC6	259282	
P55285	1004	
Q9HB71	27101	
P17655	824	
Q14444	4076	
P67870	1460	
P07858	1508	
Q03135	857	
Q9ULM6	57472	
E5RIL2	9337	
F8WJN3	11052	
M0R061	11316	
A0A0C4DG79	23196	
Q13098	2873	
Q9NRF8	56474	
A0A3B3IRQ8	1503	
Q93034	8065	
H3BRG4	7385	
P61962	10238	
A0A0A0MTI1	1718	
P04844	6185	
A0A2R8Y6L5	1859	
Q9P0J7	56888	
Q15075	8411	
H0Y4Y4	79180	
P30040	10961	
G3V279	2079	
Q96AE4	8880	
P02794	2495	
Q92820	8836	
Q9UGJ1	27229	
Q9HCN4	11321	
I1E4Y6	26058	
Q92769	3066	
E9PC52	5931	
A0A075B7D0	388077	
Q96P70	55705	
A6XND1	-	
Q92615	23185	
C9JRJ5	8994	
O95573	2181	
Q14114	7804	
Q96N66	79143	
P10619	5476	
P01033	7076	
P16035	7077	
