ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0008380	RNA splicing	12/32	484/18888	9.92639598170976e-12	6.23377667651373e-09	4.34671655620133e-09	HNRNPH3/PNN/ACIN1/PTBP1/PRPF19/TFIP11/RNPS1/SNW1/AKAP17A/CIR1/AQR/RBM8A	12
BP	GO:2000819	regulation of nucleotide-excision repair	5/32	28/18888	9.61708632885118e-10	3.01976510725927e-07	2.10563574358005e-07	SMARCC2/PBRM1/ARID1A/SMARCB1/SMARCE1	5
BP	GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	9/32	337/18888	3.21904928653122e-09	4.4818982798667e-07	3.12515870671228e-07	HNRNPH3/PNN/PTBP1/PRPF19/TFIP11/RNPS1/SNW1/AQR/RBM8A	9
BP	GO:0000398	mRNA splicing, via spliceosome	9/32	337/18888	3.21904928653122e-09	4.4818982798667e-07	3.12515870671228e-07	HNRNPH3/PNN/PTBP1/PRPF19/TFIP11/RNPS1/SNW1/AQR/RBM8A	9
BP	GO:0000375	RNA splicing, via transesterification reactions	9/32	341/18888	3.56839035021234e-09	4.4818982798667e-07	3.12515870671228e-07	HNRNPH3/PNN/PTBP1/PRPF19/TFIP11/RNPS1/SNW1/AQR/RBM8A	9
BP	GO:0070316	regulation of G0 to G1 transition	5/32	38/18888	4.85347061225931e-09	5.07996590749807e-07	3.54218206087697e-07	SMARCC2/PBRM1/ARID1A/SMARCB1/SMARCE1	5
BP	GO:0045023	G0 to G1 transition	5/32	40/18888	6.3473737782973e-09	5.69450104681529e-07	3.97068795755139e-07	SMARCC2/PBRM1/ARID1A/SMARCB1/SMARCE1	5
BP	GO:0045663	positive regulation of myoblast differentiation	5/32	43/18888	9.25238850861084e-09	7.26312497925951e-07	5.06446528892383e-07	SMARCC2/PBRM1/ARID1A/SMARCB1/SMARCE1	5
BP	GO:0043484	regulation of RNA splicing	7/32	186/18888	2.19233256014178e-08	1.35162288998721e-06	9.42465843504326e-07	HNRNPH3/PTBP1/PRPF19/RNPS1/SNW1/AKAP17A/RBM8A	7
BP	GO:1902107	positive regulation of leukocyte differentiation	7/32	190/18888	2.53877160313203e-08	1.35162288998721e-06	9.42465843504326e-07	ACIN1/SMARCC2/NKAP/PBRM1/ARID1A/SMARCB1/SMARCE1	7
BP	GO:1903708	positive regulation of hemopoiesis	7/32	190/18888	2.53877160313203e-08	1.35162288998721e-06	9.42465843504326e-07	ACIN1/SMARCC2/NKAP/PBRM1/ARID1A/SMARCB1/SMARCE1	7
BP	GO:0006337	nucleosome disassembly	4/32	19/18888	2.58271889806474e-08	1.35162288998721e-06	9.42465843504326e-07	SMARCC2/ARID1A/SMARCB1/SMARCE1	4
BP	GO:0006302	double-strand break repair	8/32	312/18888	3.77595631848466e-08	1.7846715492388e-06	1.24442401019668e-06	PRPF19/TFIP11/SMARCC2/CHD4/PBRM1/ARID1A/SMARCB1/SMARCE1	8
BP	GO:0032986	protein-DNA complex disassembly	4/32	21/18888	3.97856714798458e-08	1.7846715492388e-06	1.24442401019668e-06	SMARCC2/ARID1A/SMARCB1/SMARCE1	4
BP	GO:0045582	positive regulation of T cell differentiation	6/32	119/18888	4.36615609856202e-08	1.8279640199313e-06	1.27461118386091e-06	SMARCC2/NKAP/PBRM1/ARID1A/SMARCB1/SMARCE1	6
BP	GO:2000779	regulation of double-strand break repair	6/32	132/18888	8.11206336694083e-08	3.09551343634628e-06	2.15845388789818e-06	TFIP11/SMARCC2/PBRM1/ARID1A/SMARCB1/SMARCE1	6
BP	GO:0045621	positive regulation of lymphocyte differentiation	6/32	133/18888	8.48525690098491e-08	3.09551343634628e-06	2.15845388789818e-06	SMARCC2/NKAP/PBRM1/ARID1A/SMARCB1/SMARCE1	6
BP	GO:0050684	regulation of mRNA processing	6/32	134/18888	8.87249074111991e-08	3.09551343634628e-06	2.15845388789818e-06	PTBP1/PRPF19/RNPS1/SAFB/SNW1/RBM8A	6
BP	GO:0045661	regulation of myoblast differentiation	5/32	73/18888	1.39298294994302e-07	4.60417522402219e-06	3.21042053837283e-06	SMARCC2/PBRM1/ARID1A/SMARCB1/SMARCE1	5
BP	GO:0033044	regulation of chromosome organization	7/32	247/18888	1.52990708744689e-07	4.80390825458324e-06	3.34969130725214e-06	HNRNPD/SMARCC2/PBRM1/ARID1A/SMARCA5/SMARCB1/SMARCE1	7
BP	GO:0044843	cell cycle G1/S phase transition	7/32	262/18888	2.28266279886909e-07	6.82624875090375e-06	4.75983821719068e-06	SMARCC2/PBRM1/PLCG2/ARID1A/RCC1/SMARCB1/SMARCE1	7
BP	GO:0006289	nucleotide-excision repair	5/32	83/18888	2.66070676664873e-07	7.59510840661547e-06	5.29595222452571e-06	SMARCC2/PBRM1/ARID1A/SMARCB1/SMARCE1	5
BP	GO:2000781	positive regulation of double-strand break repair	5/32	85/18888	2.99875982949398e-07	8.18791814314008e-06	5.70930933212583e-06	SMARCC2/PBRM1/ARID1A/SMARCB1/SMARCE1	5
BP	GO:0030071	regulation of mitotic metaphase/anaphase transition	5/32	90/18888	3.99400082299342e-07	1.04509688201661e-05	7.28729974721607e-06	SMARCC2/PBRM1/ARID1A/SMARCB1/SMARCE1	5
BP	GO:1902099	regulation of metaphase/anaphase transition of cell cycle	5/32	93/18888	4.70614308907423e-07	1.18218314397545e-05	8.24318115812581e-06	SMARCC2/PBRM1/ARID1A/SMARCB1/SMARCE1	5
BP	GO:0007091	metaphase/anaphase transition of mitotic cell cycle	5/32	94/18888	4.9646049101642e-07	1.19914303214735e-05	8.3614398486976e-06	SMARCC2/PBRM1/ARID1A/SMARCB1/SMARCE1	5
BP	GO:0045580	regulation of T cell differentiation	6/32	183/18888	5.60073760997437e-07	1.26082603041163e-05	8.79154590431172e-06	SMARCC2/NKAP/PBRM1/ARID1A/SMARCB1/SMARCE1	6
BP	GO:0044784	metaphase/anaphase transition of cell cycle	5/32	97/18888	5.80797392396547e-07	1.26082603041163e-05	8.79154590431172e-06	SMARCC2/PBRM1/ARID1A/SMARCB1/SMARCE1	5
BP	GO:0051054	positive regulation of DNA metabolic process	7/32	301/18888	5.82228580922567e-07	1.26082603041163e-05	8.79154590431172e-06	HNRNPD/SMARCC2/PBRM1/ARID1A/SMARCA5/SMARCB1/SMARCE1	7
BP	GO:0010720	positive regulation of cell development	8/32	454/18888	6.6375160892551e-07	1.3894533680174e-05	9.68844453729868e-06	ACIN1/SMARCC2/NKAP/PBRM1/SNW1/ARID1A/SMARCB1/SMARCE1	8
BP	GO:0033045	regulation of sister chromatid segregation	5/32	104/18888	8.21885199008772e-07	1.66498033863712e-05	1.16096517075602e-05	SMARCC2/PBRM1/ARID1A/SMARCB1/SMARCE1	5
BP	GO:1902105	regulation of leukocyte differentiation	7/32	328/18888	1.03529438213814e-06	2.03176522494611e-05	1.41671862818904e-05	ACIN1/SMARCC2/NKAP/PBRM1/ARID1A/SMARCB1/SMARCE1	7
BP	GO:1903131	mononuclear cell differentiation	8/32	484/18888	1.07410106754149e-06	2.04404688004864e-05	1.42528243731183e-05	ACIN1/SMARCC2/NKAP/PBRM1/PLCG2/ARID1A/SMARCB1/SMARCE1	8
BP	GO:0045445	myoblast differentiation	5/32	111/18888	1.13590040858231e-06	2.09807487232261e-05	1.46295532498526e-05	SMARCC2/PBRM1/ARID1A/SMARCB1/SMARCE1	5
BP	GO:0048024	regulation of mRNA splicing, via spliceosome	5/32	112/18888	1.18756154038583e-06	2.13082470674944e-05	1.48579128060303e-05	PTBP1/PRPF19/RNPS1/SNW1/RBM8A	5
BP	GO:1902806	regulation of cell cycle G1/S phase transition	6/32	211/18888	1.28715039471756e-06	2.24536235522952e-05	1.56565662047516e-05	SMARCC2/PBRM1/PLCG2/ARID1A/SMARCB1/SMARCE1	6
BP	GO:0006282	regulation of DNA repair	6/32	215/18888	1.43578491546112e-06	2.37282349186733e-05	1.65453330978345e-05	TFIP11/SMARCC2/PBRM1/ARID1A/SMARCB1/SMARCE1	6
BP	GO:0045619	regulation of lymphocyte differentiation	6/32	215/18888	1.43578491546112e-06	2.37282349186733e-05	1.65453330978345e-05	SMARCC2/NKAP/PBRM1/ARID1A/SMARCB1/SMARCE1	6
BP	GO:0000819	sister chromatid segregation	6/32	229/18888	2.07081992457426e-06	3.3345510580324e-05	2.32513114338162e-05	SMARCC2/PBRM1/ARID1A/SMARCA5/SMARCB1/SMARCE1	6
BP	GO:0000082	G1/S transition of mitotic cell cycle	6/32	234/18888	2.34674422533645e-06	3.65694767058019e-05	2.54993334053195e-05	SMARCC2/PBRM1/ARID1A/RCC1/SMARCB1/SMARCE1	6
BP	GO:0045739	positive regulation of DNA repair	5/32	129/18888	2.3874976830221e-06	3.65694767058019e-05	2.54993334053195e-05	SMARCC2/PBRM1/ARID1A/SMARCB1/SMARCE1	5
BP	GO:0051983	regulation of chromosome segregation	5/32	131/18888	2.5753728121637e-06	3.85079553818763e-05	2.68510047583985e-05	SMARCC2/PBRM1/ARID1A/SMARCB1/SMARCE1	5
BP	GO:0034728	nucleosome organization	5/32	138/18888	3.32636368579819e-06	4.85803812716573e-05	3.38743523449705e-05	SMARCC2/ARID1A/SMARCA5/SMARCB1/SMARCE1	5
BP	GO:0032984	protein-containing complex disassembly	6/32	252/18888	3.60010787050905e-06	5.13833577881746e-05	3.58288247399943e-05	TFIP11/SMARCC2/ARID1A/ETF1/SMARCB1/SMARCE1	6
BP	GO:0050870	positive regulation of T cell activation	6/32	253/18888	3.68318532624914e-06	5.14008974418769e-05	3.58410548706349e-05	SMARCC2/NKAP/PBRM1/ARID1A/SMARCB1/SMARCE1	6
BP	GO:1903311	regulation of mRNA metabolic process	7/32	404/18888	4.12349326392753e-06	5.62946471684019e-05	3.92533912538639e-05	HNRNPD/PTBP1/PRPF19/RNPS1/SAFB/SNW1/RBM8A	7
BP	GO:0007059	chromosome segregation	7/32	423/18888	5.57608571276136e-06	7.40914980889251e-05	5.16628615571452e-05	SMARCC2/PBRM1/ARID1A/RCC1/SMARCA5/SMARCB1/SMARCE1	7
BP	GO:1903706	regulation of hemopoiesis	7/32	424/18888	5.66304443991784e-06	7.40914980889251e-05	5.16628615571452e-05	ACIN1/SMARCC2/NKAP/PBRM1/ARID1A/SMARCB1/SMARCE1	7
BP	GO:1903039	positive regulation of leukocyte cell-cell adhesion	6/32	277/18888	6.19820774465524e-06	7.94382543600712e-05	5.53910724334389e-05	SMARCC2/NKAP/PBRM1/ARID1A/SMARCB1/SMARCE1	6
BP	GO:0030098	lymphocyte differentiation	7/32	432/18888	6.40033850403209e-06	8.03882516106431e-05	5.60534908984705e-05	SMARCC2/NKAP/PBRM1/PLCG2/ARID1A/SMARCB1/SMARCE1	7
BP	GO:1901987	regulation of cell cycle phase transition	7/32	455/18888	8.97955369255971e-06	0.000110571759194657	7.70999862973135e-05	PRPF19/SMARCC2/PBRM1/PLCG2/ARID1A/SMARCB1/SMARCE1	7
BP	GO:0030217	T cell differentiation	6/32	310/18888	1.17778908692953e-05	0.000142240682036873	9.91822388993285e-05	SMARCC2/NKAP/PBRM1/ARID1A/SMARCB1/SMARCE1	6
BP	GO:0098813	nuclear chromosome segregation	6/32	317/18888	1.33693290787657e-05	0.000158413937008771	0.000110459600730219	SMARCC2/PBRM1/ARID1A/SMARCA5/SMARCB1/SMARCE1	6
BP	GO:2000045	regulation of G1/S transition of mitotic cell cycle	5/32	185/18888	1.3874194268802e-05	0.000161351740755697	0.000112508086078394	SMARCC2/PBRM1/ARID1A/SMARCB1/SMARCE1	5
BP	GO:0022409	positive regulation of cell-cell adhesion	6/32	325/18888	1.5397007967654e-05	0.000175805836430668	0.000122586704584576	SMARCC2/NKAP/PBRM1/ARID1A/SMARCB1/SMARCE1	6
BP	GO:0051251	positive regulation of lymphocyte activation	6/32	328/18888	1.62186945403441e-05	0.000181881074488145	0.000126822874601187	SMARCC2/NKAP/PBRM1/ARID1A/SMARCB1/SMARCE1	6
BP	GO:0002696	positive regulation of leukocyte activation	6/32	362/18888	2.82716434964136e-05	0.0003114840722061	0.000217193050683436	SMARCC2/NKAP/PBRM1/ARID1A/SMARCB1/SMARCE1	6
BP	GO:0050867	positive regulation of cell activation	6/32	380/18888	3.70989673304136e-05	0.000399858080055085	0.000278814886528521	SMARCC2/NKAP/PBRM1/ARID1A/SMARCB1/SMARCE1	6
BP	GO:0050863	regulation of T cell activation	6/32	382/18888	3.82030012791483e-05	0.000399858080055085	0.000278814886528521	SMARCC2/NKAP/PBRM1/ARID1A/SMARCB1/SMARCE1	6
BP	GO:1903037	regulation of leukocyte cell-cell adhesion	6/32	382/18888	3.82030012791483e-05	0.000399858080055085	0.000278814886528521	SMARCC2/NKAP/PBRM1/ARID1A/SMARCB1/SMARCE1	6
BP	GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	3/32	44/18888	5.58030962248154e-05	0.000574497449658756	0.000400588231743282	RNPS1/ETF1/RBM8A	3
BP	GO:0000956	nuclear-transcribed mRNA catabolic process	4/32	126/18888	5.87432967043472e-05	0.000595012747263387	0.000414893233090126	HNRNPD/RNPS1/ETF1/RBM8A	4
BP	GO:0007159	leukocyte cell-cell adhesion	6/32	419/18888	6.38842044240841e-05	0.000636813974259124	0.000444040585470659	SMARCC2/NKAP/PBRM1/ARID1A/SMARCB1/SMARCE1	6
BP	GO:1902459	positive regulation of stem cell population maintenance	3/32	48/18888	7.25413982882058e-05	0.000711812470703019	0.000496335883024566	ARID1A/SMARCB1/SMARCE1	3
BP	GO:0044772	mitotic cell cycle phase transition	6/32	451/18888	9.58799379706753e-05	0.000926347708393601	0.000645928003170865	SMARCC2/PBRM1/ARID1A/RCC1/SMARCB1/SMARCE1	6
BP	GO:0000381	regulation of alternative mRNA splicing, via spliceosome	3/32	55/18888	0.000109150058149056	0.00103857934117586	0.000724185393780019	PTBP1/RNPS1/RBM8A	3
BP	GO:0045785	positive regulation of cell adhesion	6/32	485/18888	0.000142738497467601	0.00133790711059184	0.000932902041579293	SMARCC2/NKAP/PBRM1/ARID1A/SMARCB1/SMARCE1	6
BP	GO:0022407	regulation of cell-cell adhesion	6/32	496/18888	0.000161281667426498	0.00148948363446825	0.00103859401934092	SMARCC2/NKAP/PBRM1/ARID1A/SMARCB1/SMARCE1	6
BP	GO:0019827	stem cell population maintenance	4/32	182/18888	0.000242879225583664	0.002210552951689	0.0015413845590054	NKAP/ARID1A/SMARCB1/SMARCE1	4
BP	GO:0000380	alternative mRNA splicing, via spliceosome	3/32	73/18888	0.000253463997110411	0.00224190690401885	0.00156324718751566	PTBP1/RNPS1/RBM8A	3
BP	GO:2000036	regulation of stem cell population maintenance	3/32	73/18888	0.000253463997110411	0.00224190690401885	0.00156324718751566	ARID1A/SMARCB1/SMARCE1	3
BP	GO:0098727	maintenance of cell number	4/32	186/18888	0.000263881698091319	0.00230163481112984	0.00160489453809925	NKAP/ARID1A/SMARCB1/SMARCE1	4
BP	GO:1901990	regulation of mitotic cell cycle phase transition	5/32	356/18888	0.000306372084702037	0.00263563930401205	0.00183779073159405	SMARCC2/PBRM1/ARID1A/SMARCB1/SMARCE1	5
BP	GO:0043923	positive regulation by host of viral transcription	2/32	17/18888	0.000372223505615791	0.00315886975036103	0.00220263127078476	SNW1/SMARCB1	2
BP	GO:0048025	negative regulation of mRNA splicing, via spliceosome	2/32	22/18888	0.000628897311980662	0.00526596682565141	0.00367187763907306	PTBP1/RNPS1	2
BP	GO:1903312	negative regulation of mRNA metabolic process	3/32	100/18888	0.000638839031605263	0.00527882778747507	0.00368084538985858	HNRNPD/PTBP1/RNPS1	3
BP	GO:0019080	viral gene expression	3/32	102/18888	0.000676790579814738	0.00551979849511241	0.00384887055643105	PTBP1/SNW1/SMARCB1	3
BP	GO:0050686	negative regulation of mRNA processing	2/32	24/18888	0.000749822194875823	0.00603702997925663	0.00420952811158357	PTBP1/RNPS1	2
BP	GO:0033119	negative regulation of RNA splicing	2/32	27/18888	0.000950558448747439	0.00755633804827078	0.00526891825021898	PTBP1/RNPS1	2
BP	GO:0045943	positive regulation of transcription by RNA polymerase I	2/32	35/18888	0.00159778098964397	0.0125425807687052	0.00874574857489332	SMARCA5/SMARCB1	2
BP	GO:0045815	transcription initiation-coupled chromatin remodeling	2/32	36/18888	0.00168998208374893	0.012942789617004	0.00902480804672084	ARID1A/SMARCB1	2
BP	GO:0048026	positive regulation of mRNA splicing, via spliceosome	2/32	36/18888	0.00168998208374893	0.012942789617004	0.00902480804672084	PRPF19/SNW1	2
BP	GO:0141137	positive regulation of gene expression, epigenetic	2/32	38/18888	0.00188182633026323	0.0142383968121121	0.00992821500811036	ARID1A/SMARCB1	2
BP	GO:0016233	telomere capping	2/32	39/18888	0.00198145321047658	0.0146394425432858	0.0102078580254892	HNRNPD/TFIP11	2
BP	GO:0050685	positive regulation of mRNA processing	2/32	39/18888	0.00198145321047658	0.0146394425432858	0.0102078580254892	PRPF19/SNW1	2
BP	GO:0070884	regulation of calcineurin-NFAT signaling cascade	2/32	40/18888	0.00208353911213082	0.0152146809583506	0.0106089629210088	PTBP1/PLCG2	2
BP	GO:0106056	regulation of calcineurin-mediated signaling	2/32	41/18888	0.00218807594647245	0.0157943872917782	0.011013183227254	PTBP1/PLCG2	2
BP	GO:0030261	chromosome condensation	2/32	45/18888	0.00263057149530368	0.0185617853825923	0.0129428473334871	ACIN1/SMARCA5	2
BP	GO:0033173	calcineurin-NFAT signaling cascade	2/32	45/18888	0.00263057149530368	0.0185617853825923	0.0129428473334871	PTBP1/PLCG2	2
BP	GO:0006402	mRNA catabolic process	4/32	348/18888	0.00270977750426561	0.0189082252519867	0.0131844145236783	HNRNPD/RNPS1/ETF1/RBM8A	4
BP	GO:0006356	regulation of transcription by RNA polymerase I	2/32	48/18888	0.00298778440005678	0.0203948761221267	0.0142210333000414	SMARCA5/SMARCB1	2
BP	GO:0097720	calcineurin-mediated signaling	2/32	48/18888	0.00298778440005678	0.0203948761221267	0.0142210333000414	PTBP1/PLCG2	2
BP	GO:0033120	positive regulation of RNA splicing	2/32	50/18888	0.00323787409309087	0.0218643540909792	0.0152456776765795	PRPF19/SNW1	2
BP	GO:0030522	intracellular receptor signaling pathway	4/32	369/18888	0.00334473002022817	0.0222542013640635	0.0155175121814455	SAFB/SNW1/PLCG2/ARID1A	4
BP	GO:0019083	viral transcription	2/32	51/18888	0.00336647950571024	0.0222542013640635	0.0155175121814455	SNW1/SMARCB1	2
BP	GO:0050850	positive regulation of calcium-mediated signaling	2/32	53/18888	0.00363077204691888	0.0237513004735944	0.0165614163543668	PTBP1/PLCG2	2
BP	GO:0030520	intracellular estrogen receptor signaling pathway	2/32	54/18888	0.00376644346437305	0.0243848092332606	0.0170031522645598	SAFB/ARID1A	2
BP	GO:0006352	DNA-templated transcription initiation	3/32	189/18888	0.00395076815071465	0.025317167333151	0.0176532712212384	ARID1A/SMARCA5/SMARCB1	3
BP	GO:0006401	RNA catabolic process	4/32	404/18888	0.00461763895182759	0.0292916895126033	0.0204246443802262	HNRNPD/RNPS1/ETF1/RBM8A	4
BP	GO:0016032	viral process	4/32	428/18888	0.00565863362758869	0.0355362191812569	0.0247788588323884	PTBP1/SNW1/RCC1/SMARCB1	4
BP	GO:0006303	double-strand break repair via nonhomologous end joining	2/32	68/18888	0.00590797854043603	0.0367347576573646	0.0256145812696341	PRPF19/TFIP11	2
BP	GO:0040029	epigenetic regulation of gene expression	3/32	220/18888	0.00602763643598165	0.0371113302136909	0.0258771595187654	ARID1A/SMARCA5/SMARCB1	3
BP	GO:0006360	transcription by RNA polymerase I	2/32	73/18888	0.00677991994455054	0.041337764322114	0.0288241869896068	SMARCA5/SMARCB1	2
BP	GO:1903313	positive regulation of mRNA metabolic process	3/32	240/18888	0.00765750413479831	0.0462395441985898	0.032242122672835	HNRNPD/PRPF19/SNW1	3
CC	GO:0070603	SWI/SNF superfamily-type complex	7/33	93/19894	1.50033317072141e-10	1.50033317072141e-08	8.68613940943971e-09	SMARCC2/CHD4/PBRM1/ARID1A/SMARCA5/SMARCB1/SMARCE1	7
CC	GO:0016607	nuclear speck	10/33	416/19894	8.64698369164412e-10	2.76881382257325e-08	1.60299747622662e-08	PNN/ACIN1/RBBP6/PRPF19/TFIP11/RNPS1/SNW1/AKAP17A/CIR1/RBM8A	10
CC	GO:0016514	SWI/SNF complex	5/33	30/19894	1.26543321339517e-09	2.76881382257325e-08	1.60299747622662e-08	SMARCC2/PBRM1/ARID1A/SMARCB1/SMARCE1	5
CC	GO:0140092	bBAF complex	4/33	10/19894	1.30787900636031e-09	2.76881382257325e-08	1.60299747622662e-08	SMARCC2/ARID1A/SMARCB1/SMARCE1	4
