ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04360	Axon guidance	64/1804	184/8841	3.24403795264989e-06	0.00110621694185361	0.000870768082027077	658/659/815/816/1072/1808/1946/1947/2042/2043/2044/2045/2047/2932/3611/3688/3845/3983/4233/4690/5290/5295/5335/5361/5362/5530/5578/5747/5894/5921/6091/6092/6093/6469/6586/7220/7474/8440/8829/9037/9353/9723/9901/10501/10505/10627/22854/22885/23365/25791/54437/56288/56963/57556/57689/64221/80031/84448/85464/91584/91653/103910/151449/285220	64
hsa04020	Calcium signaling pathway	81/1804	254/8841	8.39949024639376e-06	0.00143211308701014	0.00112730000675285	108/109/113/114/147/148/154/185/444/491/775/777/801/805/814/815/816/844/887/1129/1131/1956/2066/2246/2250/2263/2668/2774/2776/2778/2903/2904/2911/3082/3269/3358/3360/3363/3707/3708/3709/3791/3973/4233/4638/4842/4914/4915/4916/5021/5136/5137/5255/5257/5260/5335/5530/5567/5578/5733/6262/6546/6547/6588/6870/7201/7416/7424/7942/8823/10105/23236/26281/51196/57172/57620/80310/89869/116443/163688/100507027	81
hsa05205	Proteoglycans in cancer	67/1804	204/8841	1.73643267047727e-05	0.0019737451354425	0.00155365028411124	286/287/288/355/356/815/816/857/960/1634/1956/2066/2099/2535/2817/2885/3082/3091/3479/3480/3593/3685/3688/3690/3708/3709/3791/3845/4060/4233/4313/4478/4609/4659/5290/5295/5335/5567/5578/5747/5894/6093/6194/6382/6383/6469/7042/7074/7099/7472/7474/7479/7482/7855/8325/8826/9138/10000/10451/22800/22808/23365/27250/29102/51196/51384/79923	67
hsa04371	Apelin signaling pathway	49/1804	140/8841	3.72786756379188e-05	0.00317800709813258	0.00250159533886034	108/109/113/114/182/185/801/805/814/1490/2776/2786/2787/2788/2792/3708/3709/3845/4205/4208/4633/4638/4842/5289/5563/5567/5581/5894/6194/6262/6546/6547/7019/9759/10000/10672/10681/10891/22800/22808/23236/30849/51422/54331/55970/59345/84557/163688/440738	49
hsa04750	Inflammatory mediator regulation of TRP channels	37/1804	99/8841	6.80443199845332e-05	0.00464062262294517	0.00365290559916968	40/108/109/113/114/801/805/815/816/1573/2776/2778/3269/3358/3479/3553/3554/3556/3708/3709/4914/5290/5295/5321/5335/5567/5578/5581/5583/5602/5606/5608/5734/8989/23236/79054/163688	37
hsa04520	Adherens junction	35/1804	93/8841	8.99929731932081e-05	0.00489064889612731	0.00384971590835766	1003/1495/1496/1500/1956/2241/3480/4008/4233/4301/4633/5770/5787/5792/5795/5797/5818/6093/6885/6934/7048/7082/8826/8976/10580/10627/11235/29119/51701/56288/64750/83439/83605/103910/283106	35
hsa04713	Circadian entrainment	36/1804	97/8841	0.000100394552119915	0.00489064889612731	0.00384971590835766	108/109/113/114/116/775/801/805/815/816/1385/2776/2778/2786/2787/2788/2792/2890/2893/2903/2904/2977/3708/3765/4544/4842/5567/5578/6262/9252/10681/23236/54331/55970/59345/163688	36
hsa04024	cAMP signaling pathway	69/1804	226/8841	0.000172741587216375	0.00736311015509799	0.00579593483423364	108/109/113/114/116/154/477/481/491/627/775/801/805/814/815/816/1129/1260/1262/1385/1392/1907/2492/2641/2737/2778/2890/2893/2903/2904/3350/3351/3355/3360/3776/3973/4158/4301/4659/4790/4792/5021/5139/5142/5290/5295/5567/5602/5733/5894/6093/6262/6662/6751/7074/9586/10000/10257/10451/10846/11069/22800/51196/54714/56670/64411/64764/116443/163688	69
hsa05222	Small cell lung cancer	34/1804	93/8841	0.000216884780606449	0.00821752335408879	0.00646849345668357	317/329/330/331/598/1282/1647/1871/2272/3551/3685/3688/3908/3909/3914/3918/4609/4790/4792/5290/5295/5728/5747/5915/6256/6258/6502/7185/9134/9618/10000/10912/54205/284217	34
hsa04070	Phosphatidylinositol signaling system	35/1804	98/8841	0.000297339216961828	0.00940940641921404	0.00740669435684389	801/805/1607/1608/3612/3613/3632/3707/3708/3709/5288/5289/5290/5295/5297/5298/5305/5335/5578/5728/8394/8526/8760/8776/8821/9162/23236/51196/54928/64768/89869/90809/163688/200576/253430	35
hsa04151	PI3K-Akt signaling pathway	101/1804	362/8841	0.000303529239329485	0.00940940641921404	0.00740669435684389	284/356/598/627/1129/1282/1293/1297/1298/1385/1386/1440/1946/1956/2066/2069/2246/2250/2263/2668/2690/2786/2787/2788/2792/2885/2932/3082/3439/3479/3480/3551/3565/3569/3574/3575/3685/3688/3690/3694/3716/3791/3815/3845/3908/3909/3914/3918/4233/4609/4790/4908/4914/4915/5290/5295/5523/5525/5526/5529/5563/5578/5586/5617/5618/5728/5747/5894/5934/6009/6194/6256/7010/7058/7099/7143/7424/7533/7534/8823/9134/9180/9223/9586/10000/10110/10681/10971/23566/26281/54331/54541/55844/55970/57521/59345/63923/64764/80310/117145/284217	101
hsa04015	Rap1 signaling pathway	64/1804	212/8841	0.000412248467572853	0.0117147272868619	0.00922134730097171	108/109/113/114/284/801/805/1500/1946/1956/2246/2250/2263/2533/2776/2778/2889/2903/2904/3082/3479/3480/3688/3690/3791/3815/3845/4233/4301/5290/5295/5335/5578/5587/5606/5608/5894/7010/7074/7424/8823/9223/9564/9693/10000/10451/11069/22808/23236/23566/26037/26281/27040/51196/51466/51735/54518/56288/57568/64411/80310/83660/163688/260425	64
