ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006268	DNA unwinding involved in DNA replication	8/53	21/18888	4.37356784156231e-16	4.41639416998718e-13	3.81481310360073e-13	GINS3/GINS4/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7	8
GO:0000727	double-strand break repair via break-induced replication	7/53	12/18888	7.10602440866803e-16	4.41639416998718e-13	3.81481310360073e-13	GINS4/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7	7
GO:0030174	regulation of DNA-templated DNA replication initiation	7/53	15/18888	5.73679630229342e-15	2.37694593458357e-12	2.05316920292607e-12	CDK2/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7	7
GO:0006261	DNA-templated DNA replication	12/53	160/18888	1.77799725788389e-14	5.52512647887418e-12	4.77251895537254e-12	CDK2/GINS3/GINS4/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/NUCKS1/TK1/WDHD1	12
GO:0006270	DNA replication initiation	8/53	37/18888	8.02096292529113e-14	1.99401138322737e-11	1.72239624922041e-11	CDK2/GINS3/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7	8
GO:0006260	DNA replication	13/53	278/18888	5.7195529340343e-13	1.18490071616744e-10	1.02349894609035e-10	CDK2/DUT/GINS3/GINS4/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/NUCKS1/TK1/WDHD1	13
GO:0032508	DNA duplex unwinding	9/53	79/18888	9.35524994839006e-13	1.66122509797841e-10	1.43494059358765e-10	GINS3/GINS4/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/TOP2A	9
GO:0032392	DNA geometric change	9/53	85/18888	1.8480690076191e-12	2.87143722058818e-10	2.48030314180458e-10	GINS3/GINS4/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/TOP2A	9
GO:0071103	DNA conformation change	9/53	92/18888	3.84241312631724e-12	5.30679946223592e-10	4.58393144893987e-10	GINS3/GINS4/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/TOP2A	9
GO:1902969	mitotic DNA replication	6/53	17/18888	4.40415542753023e-12	5.47436519642008e-10	4.72867214324298e-10	GINS3/MCM2/MCM3/MCM4/MCM6/TK1	6
GO:0006302	double-strand break repair	12/53	312/18888	4.86788336837168e-11	5.45369460132281e-09	4.71081720231127e-09	CGAS/FANCD2/GINS4/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/NUCKS1/UHRF1/UIMC1	12
GO:0000724	double-strand break repair via homologous recombination	10/53	176/18888	5.26503099081848e-11	5.45369460132281e-09	4.71081720231127e-09	CGAS/GINS4/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/NUCKS1/UHRF1	10
GO:0090329	regulation of DNA-templated DNA replication	7/53	48/18888	6.1175302496812e-11	5.84930007719518e-09	5.05253510499985e-09	CDK2/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7	7
GO:0000725	recombinational repair	10/53	181/18888	6.94570492028251e-11	6.16679372565083e-09	5.32678121705877e-09	CGAS/GINS4/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/NUCKS1/UHRF1	10
GO:0006310	DNA recombination	12/53	339/18888	1.26931450857641e-10	1.05183862277365e-08	9.08561964033641e-09	CGAS/FANCD2/GINS4/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/NUCKS1/TOP2A/UHRF1	12
GO:0033260	nuclear DNA replication	6/53	41/18888	1.52013956347839e-09	1.18095842337727e-07	1.02009365443944e-07	GINS3/MCM2/MCM3/MCM4/MCM6/TK1	6
