ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:1901607	alpha-amino acid biosynthetic process	18/1152	69/18888	1.05400622508875e-07	0.000551772258833961	0.000537210330724182	BCAT1/CPS1/CTH/GLS/GOT1/GOT2/MTRR/PSPH/ALDH18A1/PARK7/PSAT1/APIP/ASNSD1/ADI1/AASDHPPT/AGXT2/PCBD2/SDSL	18
BP	GO:0006520	amino acid metabolic process	42/1152	295/18888	2.56168814392692e-07	0.000670521871672871	0.000652825999626008	BAAT/BCAT1/BCKDHB/CPS1/CTH/DARS1/DDC/DLD/EPRS1/GART/GLS/GOT1/GOT2/MTRR/MMUT/P4HA1/PPAT/PSPH/ALDH18A1/SLC25A44/PARK7/DDAH1/HIBCH/PSAT1/YARS2/APIP/LARS1/ASNSD1/ADI1/AASDHPPT/SLC39A8/AGXT2/NARS2/DGLUCY/TARS2/PCBD2/HOGA1/SDSL/TPH2/EARS2/ACMSD/CARNMT1	42
BP	GO:0170034	L-amino acid biosynthetic process	14/1152	57/18888	5.91047189902098e-06	0.0103137734637916	0.0100415806789683	CTH/GLS/GOT1/GOT2/MTRR/PSPH/ALDH18A1/PARK7/PSAT1/APIP/ASNSD1/ADI1/AASDHPPT/AGXT2	14
BP	GO:0170038	proteinogenic amino acid biosynthetic process	13/1152	56/18888	2.43781161190783e-05	0.0319048594708437	0.0310628521706782	CTH/GLS/GOT1/GOT2/MTRR/PSPH/ALDH18A1/PSAT1/APIP/ASNSD1/ADI1/AASDHPPT/AGXT2	13
BP	GO:0008652	amino acid biosynthetic process	14/1152	67/18888	4.24385730299954e-05	0.0444331859624051	0.0432605411813132	CTH/GLS/GOT1/GOT2/MTRR/PSPH/ALDH18A1/PARK7/PSAT1/APIP/ASNSD1/ADI1/AASDHPPT/AGXT2	14
BP	GO:1901605	alpha-amino acid metabolic process	29/1152	216/18888	5.3523595935986e-05	0.0466993374541478	0.0454668862319376	BAAT/BCAT1/CPS1/CTH/GART/GLS/GOT1/GOT2/MTRR/MMUT/P4HA1/PPAT/PSPH/ALDH18A1/PARK7/DDAH1/HIBCH/PSAT1/APIP/ASNSD1/ADI1/AASDHPPT/SLC39A8/AGXT2/DGLUCY/PCBD2/HOGA1/SDSL/ACMSD	29
CC	GO:0140445	chromosome, telomeric repeat region	6/1201	14/19894	9.42753021985322e-05	0.0476143345252637	0.044452460937624	TERF1/XRCC5/POT1/TERF2IP/RIF1/STN1	6
CC	GO:0098687	chromosomal region	42/1201	402/19894	0.000384741365869431	0.0476143345252637	0.044452460937624	CHD4/DNMT1/HDAC2/MAD2L1/MCM6/ORC4/PCNA/TEP1/TERF1/TTK/UVRAG/XRCC5/MAD1L1/SMARCA5/BUB3/KDM4A/RASSF2/DCTN2/CTCF/ZWINT/KDM4C/CLASP1/ORC3/AHCTF1/POT1/CHMP3/TERF2IP/RIF1/LRIF1/NABP1/DSCC1/CENPO/STN1/NDEL1/PHF6/DCTN5/ANAPC16/NUDCD2/SGO2/SGO1/ARID2/GPATCH11	42
CC	GO:0000151	ubiquitin ligase complex	35/1201	318/19894	0.000444102351247369	0.0476143345252637	0.044452460937624	AMFR/BARD1/PHC2/SEL1L/SKP2/UBE2D3/UBE2N/CUL3/MED21/MED17/MED7/RBX1/MARCHF6/ANAPC10/WWP1/FBXO4/RNF11/CRBN/DCAF16/KLHL7/FEM1C/COP1/FBXL17/FBXO38/MED10/DCUN1D5/KBTBD8/OTULIN/PCMTD1/KLHDC3/ANAPC16/RNF19B/RNF217/AMN1/FBXO15	35
CC	GO:0030027	lamellipodium	25/1201	203/19894	0.000556247479927071	0.0476143345252637	0.044452460937624	APBB1/CASP8/CDH2/CTNND1/DPYSL3/ITGAV/MYLK/MYO10/PIK3CA/PLCG1/PTPRM/STX3/TESK1/WASL/ABI1/ACTR3/RUFY3/CYFIP1/PLEK2/BRK1/SCYL3/PLEKHG5/PHACTR4/FGD4/PEAR1	25
CC	GO:0045121	membrane raft	32/1201	286/19894	0.000576441300578888	0.0476143345252637	0.044452460937624	APP/FAS/ATP1A2/BMPR2/CBLB/CDH2/TPP1/S1PR1/EFNB1/GPC1/LDHB/LRP4/FURIN/PGK1/PRKAR1A/RAP2B/SDCBP/TGFBR2/LRP8/BCL10/HDAC6/DLC1/ERLIN1/NEU3/PARK7/LY6K/KIRREL1/CAVIN3/FYB2/PIKFYVE/RGMB/CAVIN4	32
CC	GO:0098857	membrane microdomain	32/1201	287/19894	0.000612205661648015	0.0476143345252637	0.044452460937624	APP/FAS/ATP1A2/BMPR2/CBLB/CDH2/TPP1/S1PR1/EFNB1/GPC1/LDHB/LRP4/FURIN/PGK1/PRKAR1A/RAP2B/SDCBP/TGFBR2/LRP8/BCL10/HDAC6/DLC1/ERLIN1/NEU3/PARK7/LY6K/KIRREL1/CAVIN3/FYB2/PIKFYVE/RGMB/CAVIN4	32
CC	GO:0000782	telomere cap complex	5/1201	13/19894	0.000680177218695145	0.0476143345252637	0.044452460937624	TERF1/XRCC5/POT1/TERF2IP/STN1	5
