shcGAS-1/shGFP	shcGAS-2/shGFP	shGFP	shcGAS-1	shcGAS-2
0.000271119	1.44375999	1.896589474	0.000514201	2.73822
0.060147498	0.585505356	72.9773	4.389402	42.7286
0.125422017	0.492576316	107.6083	13.49645	53.0053
0.142524218	1.385191738	91.9041	13.09856	127.3048
0.166377544	0.453613584	183.7165	30.5663	83.3363
0.192603147	0.770488242	391.261	75.3581	301.462
0.194972768	1.678507686	117.4364	22.8969	197.1179
0.198231547	0.859694034	89.8073	17.80264	77.2068
0.223094974	2.16543489	11.11809	2.48039	24.0755
0.225718611	0.669839377	123.1334	27.7935	82.4796
0.22737828	0.865516724	266.39	60.5713	230.565
0.231880589	0.305615156	273.207	63.3514	83.4962
0.237988899	0.966510717	4014.12	955.316	3879.69
0.263535606	0.488584854	48.2254	12.70911	23.5622
0.265136932	1.442716511	328.009	86.9673	473.224
0.270471849	0.62626949	268.73	72.6839	168.2974
0.271518516	0.840525059	198.9949	54.0308	167.2602
0.272643779	0.985919554	953.805	260.049	940.375
0.277463285	0.845093485	214.419	59.4934	181.2041
0.281909083	1.882187185	65.1559	18.36804	122.6356
0.284114489	0.488450036	168.191	47.7855	82.1529
0.292700626	0.747467001	121.2693	35.4956	90.6448
0.298303563	0.778992411	817.714	243.927	636.993
0.298806565	0.960301796	574.56	171.6823	551.751
0.301145098	0.000191667	8.51543	2.56438	0.001632123
0.305678945	0.946485342	5438.51	1662.438	5147.47
0.306021409	1.095431166	1449.013	443.429	1587.294
0.315356066	1.122230424	1449.59	457.137	1626.774
0.319002132	0.894801325	389.33	124.1971	348.373
0.321934667	1.021187766	117.9407	37.9692	120.4396
0.322051115	1.121949462	263.642	84.9062	295.793
0.331159203	0.931197822	2097.39	694.57	1953.085
0.331388684	0.724368141	49.7896	16.49971	36.066
0.333829146	0.85942309	133.1819	44.46	114.4596
0.338687551	1.007776157	1495.083	506.366	1506.709
0.340308865	0.435817899	2858.85	972.892	1245.938
0.343226635	0.902338229	116.028	39.8239	104.6965
0.344470261	1.221924306	1660.422	571.966	2028.91
0.346195658	1.125942705	5.28002	1.82792	5.945
0.357153862	1.085023228	1239.673	442.754	1345.074
0.357659299	1.579938128	62.4189	22.3247	98.618
0.35786899	0.987546636	165.377	59.1833	163.3175
0.359381089	0.93262718	16.16646	5.80992	15.07728
0.359554757	0.628207627	109.8008	39.4794	68.9777
0.360235161	0.652775336	915.799	329.903	597.811
0.365697001	1.108181993	343.486	125.6118	380.645
0.36632911	1.728492237	4145.48	1518.61	7165.43
0.366567435	0.902068903	441.055	161.6764	397.862
0.369488549	1.065359453	539.876	199.478	575.162
0.374388756	0.761897555	852.36	319.114	649.411
0.375461224	0.754763862	765.083	287.259	577.457
0.379682513	0.532784636	1082.565	411.031	576.774
0.380414009	1.039286365	762.351	290.009	792.301
0.388281546	0.776482844	27.1657	10.54794	21.0937
0.390676332	0.799251918	837.074	327.025	669.033
0.391942903	0.483277693	6278.44	2460.79	3034.23
0.392835486	1.541338033	393.802	154.6994	606.982
0.393751304	1.928355718	512.923	201.9641	989.098
0.396157901	0.720518773	36.1391	14.31679	26.0389
0.400308004	0.96613735	450.644	180.3964	435.384
0.400619796	1.272097133	30.6714	12.28757	39.017
0.401571569	0.809636199	176.5115	70.882	142.9101
0.401709083	0.687574856	177.0072	71.1054	121.7057
0.403034748	1.10364593	552.863	222.823	610.165
0.404246688	0.882550881	313.821	126.8611	276.963
0.40493582	1.458887591	178.4668	72.2676	260.363
0.406445087	0.917108325	171.8146	69.8332	157.5726
0.407133467	1.119997144	238.089	96.934	266.659
0.407673855	1.279779375	42.8963	17.4877	54.8978
0.408664159	0.681992467	383.384	156.6753	261.465
0.409434455	0.986407836	156.5093	64.0803	154.382
0.409477908	0.861390429	116.7726	47.8158	100.5868
0.409922449	1.170109383	13.79095	5.65322	16.13692
0.411381569	1.099803264	166.0597	68.3139	182.633
0.411551498	0.540219567	1736.779	714.774	938.242
0.411857654	0.418367106	719.569	296.36	301.044
0.413671451	0.858849623	298.476	123.471	256.346
0.41463146	1.359507177	61.7423	25.6003	83.9391
0.415228507	1.214946745	197.6136	82.0548	240.09
0.416858075	0.993384281	212.373	88.5294	210.968
0.41936541	0.89233095	406.152	170.3261	362.422
0.419667491	0.888358604	5030.84	2111.28	4469.19
0.419991777	0.953950073	294.311	123.6082	280.758
0.420340249	1.521123785	2556.36	1074.541	3888.54
0.420802907	0.624608303	212.8241	89.557	132.9317
0.422869954	0.869744855	349.253	147.6886	303.761
0.42294812	1.186252473	1534.836	649.156	1820.703
0.424712307	1.024318546	422.846	179.5879	433.129
0.425615729	0.363728719	255.632	108.801	92.9807
0.426851648	0.519544225	395.283	168.7272	205.367
0.429215894	0.981928283	202.294	86.8278	198.6382
0.430276552	0.941910745	1609.351	692.466	1515.865
0.432441443	0.936928334	145.7691	63.0366	136.5752
0.434283563	0.720603018	159.365	69.2096	114.8389
0.438033605	0.961419996	623.354	273.05	599.305
0.440173872	2.151007506	191.3587	84.2311	411.614
0.443303126	1.05688925	70.4351	31.2241	74.4421
0.443423933	0.84888809	6.3944	2.83543	5.42813
0.445107506	0.907378355	887.298	394.943	805.115
0.446420273	0.777756705	142.888	63.7881	111.1321
0.446721609	1.056354127	703.409	314.228	743.049
0.44770499	1.289796429	1884.654	843.769	2430.82
0.448872694	1.31481518	304.62	136.7356	400.519
0.449156018	0.488405174	5096.67	2289.2	2489.24
0.450121104	0.963252672	115.8506	52.1468	111.5934
0.451897948	1.051705155	4268.82	1929.071	4489.54
0.452288833	1.64288137	999.483	452.055	1642.032
0.45268421	1.043061409	664.609	300.858	693.228
0.452825339	1.407368804	269.596	122.0799	379.421
0.453050252	1.38844225	401.393	181.8512	557.311
0.453687188	0.479798694	5589.49	2535.88	2681.83
0.453702172	0.696129773	604.564	274.292	420.855
0.454657505	0.998743875	3606.33	1639.645	3601.8
0.455283872	0.758070909	991.555	451.439	751.669
0.456112239	1.531505638	77.1354	35.1824	118.1333
0.456470591	0.612387714	4332.68	1977.741	2653.28
0.457002558	1.13555527	225.539	103.0719	256.112
0.458399803	0.869103811	2192.73	1005.147	1905.71
0.460035126	0.328704468	350.165	161.0882	115.1008
0.46053518	1.20392944	376.135	173.2234	452.84
0.460959536	1.661449269	1433.026	660.567	2380.9
0.461732555	0.818459559	413.401	190.8807	338.352
0.462094527	0.332548694	432.088	199.6655	143.6903
0.463939859	0.566664719	4791.44	2222.94	2715.14
0.464323106	1.480298619	33.4875	15.54902	49.5715
0.464715189	0.96528178	300.217	139.5154	289.794
0.464901043	1.074379232	124.8171	58.0276	134.1009
0.465063745	1.297629148	2699.03	1255.221	3502.34
0.466328698	0.933596421	66.2389	30.8891	61.8404
0.466819794	0.497544871	4519.11	2109.61	2248.46
0.467232663	0.522619382	1556.077	727.05	813.236
0.46838628	1.013839724	1651.767	773.665	1674.627
0.468761634	1.019226994	590.94	277.01	602.302
0.470327016	0.556897951	177.2454	83.3633	98.7076
0.470338425	0.773756366	59.9513	28.1974	46.3877
0.471076174	0.59019471	365.415	172.1383	215.666
0.471614138	0.896857054	1004.567	473.768	900.953
0.472763339	0.69125336	177.2978	83.8199	122.5577
0.473626869	0.858272085	204.223	96.7255	175.2789
0.474907115	1.106428072	15782.96	7495.44	17462.71
0.475882335	1.196877139	60.4702	28.7767	72.3754
0.476110124	0.958000296	216.192	102.9312	207.112
0.476267279	0.535374121	583.435	277.871	312.356
0.47862779	0.410571731	220.768	105.6657	90.6411
0.479432383	1.345465735	506.962	243.054	682.1
0.479991803	1.085298409	2220.44	1065.793	2409.84
