ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0006268	DNA unwinding involved in DNA replication	8/53	21/18888	4.37356784156231e-16	4.41639416998718e-13	3.81481310360073e-13	GINS3/GINS4/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7	8
BP	GO:0000727	double-strand break repair via break-induced replication	7/53	12/18888	7.10602440866803e-16	4.41639416998718e-13	3.81481310360073e-13	GINS4/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7	7
BP	GO:0030174	regulation of DNA-templated DNA replication initiation	7/53	15/18888	5.73679630229342e-15	2.37694593458357e-12	2.05316920292607e-12	CDK2/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7	7
BP	GO:0006261	DNA-templated DNA replication	12/53	160/18888	1.77799725788389e-14	5.52512647887418e-12	4.77251895537254e-12	CDK2/GINS3/GINS4/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/NUCKS1/TK1/WDHD1	12
BP	GO:0006270	DNA replication initiation	8/53	37/18888	8.02096292529113e-14	1.99401138322737e-11	1.72239624922041e-11	CDK2/GINS3/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7	8
BP	GO:0006260	DNA replication	13/53	278/18888	5.7195529340343e-13	1.18490071616744e-10	1.02349894609035e-10	CDK2/DUT/GINS3/GINS4/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/NUCKS1/TK1/WDHD1	13
BP	GO:0032508	DNA duplex unwinding	9/53	79/18888	9.35524994839006e-13	1.66122509797841e-10	1.43494059358765e-10	GINS3/GINS4/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/TOP2A	9
BP	GO:0032392	DNA geometric change	9/53	85/18888	1.8480690076191e-12	2.87143722058818e-10	2.48030314180458e-10	GINS3/GINS4/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/TOP2A	9
BP	GO:0071103	DNA conformation change	9/53	92/18888	3.84241312631724e-12	5.30679946223592e-10	4.58393144893987e-10	GINS3/GINS4/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/TOP2A	9
BP	GO:1902969	mitotic DNA replication	6/53	17/18888	4.40415542753023e-12	5.47436519642008e-10	4.72867214324298e-10	GINS3/MCM2/MCM3/MCM4/MCM6/TK1	6
BP	GO:0006302	double-strand break repair	12/53	312/18888	4.86788336837168e-11	5.45369460132281e-09	4.71081720231127e-09	CGAS/FANCD2/GINS4/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/NUCKS1/UHRF1/UIMC1	12
BP	GO:0000724	double-strand break repair via homologous recombination	10/53	176/18888	5.26503099081848e-11	5.45369460132281e-09	4.71081720231127e-09	CGAS/GINS4/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/NUCKS1/UHRF1	10
BP	GO:0090329	regulation of DNA-templated DNA replication	7/53	48/18888	6.1175302496812e-11	5.84930007719518e-09	5.05253510499985e-09	CDK2/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7	7
BP	GO:0000725	recombinational repair	10/53	181/18888	6.94570492028251e-11	6.16679372565083e-09	5.32678121705877e-09	CGAS/GINS4/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/NUCKS1/UHRF1	10
BP	GO:0006310	DNA recombination	12/53	339/18888	1.26931450857641e-10	1.05183862277365e-08	9.08561964033641e-09	CGAS/FANCD2/GINS4/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/NUCKS1/TOP2A/UHRF1	12
BP	GO:0033260	nuclear DNA replication	6/53	41/18888	1.52013956347839e-09	1.18095842337727e-07	1.02009365443944e-07	GINS3/MCM2/MCM3/MCM4/MCM6/TK1	6
BP	GO:0006275	regulation of DNA replication	8/53	128/18888	2.44820165494923e-09	1.79006744535405e-07	1.54623262417846e-07	CDK2/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/NUCKS1	8
BP	GO:0044786	cell cycle DNA replication	6/53	45/18888	2.73025662575464e-09	1.88539388100723e-07	1.62857412764312e-07	GINS3/MCM2/MCM3/MCM4/MCM6/TK1	6
BP	GO:0022616	DNA strand elongation	4/53	37/18888	3.40637792760038e-06	0.000222848829684593	0.000192493378734204	MCM3/MCM4/MCM7/NUCKS1	4
BP	GO:0006271	DNA strand elongation involved in DNA replication	3/53	15/18888	9.26868592677296e-06	0.000576048830348939	0.00049758208659518	MCM3/MCM4/MCM7	3
BP	GO:0035825	homologous recombination	4/53	68/18888	3.93881359088242e-05	0.0023314025206985	0.00201382950511281	FANCD2/NUCKS1/TOP2A/UHRF1	4
BP	GO:0007093	mitotic cell cycle checkpoint signaling	5/53	143/18888	4.96795767416649e-05	0.00280689608590407	0.00242455350605255	AURKB/CDK2/FANCD2/MDC1/UIMC1	5
BP	GO:0044773	mitotic DNA damage checkpoint signaling	4/53	84/18888	9.02791216473934e-05	0.0048789977481613	0.00421440293273873	CDK2/FANCD2/MDC1/UIMC1	4
BP	GO:0044774	mitotic DNA integrity checkpoint signaling	4/53	88/18888	0.000108206594501426	0.00560419987355305	0.00484082133295855	CDK2/FANCD2/MDC1/UIMC1	4
BP	GO:0042770	signal transduction in response to DNA damage	5/53	188/18888	0.000180456347738537	0.00897228960956004	0.00775012525024452	CDK2/FANCD2/FOXO3/MDC1/UIMC1	5
BP	GO:0000075	cell cycle checkpoint signaling	5/53	191/18888	0.000194251830976067	0.00928673176550967	0.00802173553018577	AURKB/CDK2/FANCD2/MDC1/UIMC1	5
BP	GO:0036297	interstrand cross-link repair	3/53	41/18888	0.00020623867327376	0.00949461743997347	0.00820130396644192	FANCD2/FANCI/NUCKS1	3
BP	GO:0000077	DNA damage checkpoint signaling	4/53	125/18888	0.000416576556142467	0.018493023545896	0.015973988243057	CDK2/FANCD2/MDC1/UIMC1	4
BP	GO:0160049	negative regulation of cGAS/STING signaling pathway	2/53	12/18888	0.000500789495511152	0.0214648738938056	0.0185410266940608	AURKB/CGAS	2
BP	GO:0031570	DNA integrity checkpoint signaling	4/53	134/18888	0.000541781880896486	0.0224478292651444	0.0193900883689269	CDK2/FANCD2/MDC1/UIMC1	4
BP	GO:0140896	cGAS/STING signaling pathway	2/53	13/18888	0.000590778637309523	0.0236883176185722	0.020461603057919	AURKB/CGAS	2
BP	GO:0045930	negative regulation of mitotic cell cycle	5/53	248/18888	0.000643398201353089	0.0247139808111028	0.0213475550894058	AURKB/CDK2/FANCD2/MDC1/UIMC1	5
BP	GO:0070828	heterochromatin organization	4/53	141/18888	0.000656123384365562	0.0247139808111028	0.0213475550894058	CDK2/H2AC21/MBD3/UHRF1	4
BP	GO:0051764	actin crosslink formation	2/53	14/18888	0.000688003462332758	0.0251525971670476	0.0217264251262976	DIAPH3/GAS2L3	2
BP	GO:1901988	negative regulation of cell cycle phase transition	5/53	273/18888	0.000990265377722194	0.0351685675573911	0.0303780657226057	AURKB/CDK2/FANCD2/MDC1/UIMC1	5
BP	GO:0031573	mitotic intra-S DNA damage checkpoint signaling	2/53	17/18888	0.00102269509675675	0.0353113890352399	0.030501432710289	FANCD2/MDC1	2
CC	GO:0071162	CMG complex	8/53	11/19894	2.39225443263715e-19	3.06208567377555e-17	2.44261768385056e-17	GINS3/GINS4/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7	8
CC	GO:0031261	DNA replication preinitiation complex	8/53	13/19894	1.85845886003699e-18	1.18941367042367e-16	9.48792154860988e-17	GINS3/GINS4/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7	8
CC	GO:0042555	MCM complex	6/53	11/19894	1.22036689446396e-13	5.2068987497129e-12	4.15352943028085e-12	MCM2/MCM3/MCM4/MCM5/MCM6/MCM7	6
CC	GO:0000228	nuclear chromosome	10/53	226/19894	3.73218062956331e-10	1.19429780146026e-08	9.52688213335898e-09	GINS3/GINS4/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/TOP2A/WDHD1	10
CC	GO:0000781	chromosome, telomeric region	7/53	173/19894	3.66488191602691e-07	9.38209770502889e-06	7.48407464957074e-06	CDK2/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7	7
CC	GO:0098687	chromosomal region	9/53	402/19894	1.03714024513812e-06	2.21256585629466e-05	1.76495796102452e-05	AURKB/CDK2/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/TOP2A	9
CC	GO:0005657	replication fork	3/53	74/19894	0.00101268762540446	0.0185177165788245	0.0147715337840952	MCM3/UHRF1/WDHD1	3
CC	GO:1990391	DNA repair complex	2/53	22/19894	0.00155465819068614	0.0248745310509783	0.0198423479600732	FANCD2/FANCI	2
CC	GO:0035861	site of double-strand break	3/53	91/19894	0.00183834871867553	0.0261454039989409	0.0208561199662604	CGAS/MDC1/UIMC1	3
MF	GO:0017116	single-stranded DNA helicase activity	6/54	23/18522	4.48026404220187e-11	8.1540805568074e-09	6.64965505211015e-09	MCM2/MCM3/MCM4/MCM5/MCM6/MCM7	6
MF	GO:0008094	ATP-dependent activity, acting on DNA	8/54	123/18522	2.4217644258954e-09	2.20380562756481e-07	1.79720412658553e-07	HLTF/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/TOP2A	8
MF	GO:0003678	DNA helicase activity	6/54	59/18522	1.84585509589052e-08	1.11981875817358e-06	9.13212521124786e-07	MCM2/MCM3/MCM4/MCM5/MCM6/MCM7	6
MF	GO:0003697	single-stranded DNA binding	7/54	119/18522	5.21697779503075e-08	2.37372489673899e-06	1.93577333973509e-06	MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/NUCKS1	7
MF	GO:0004386	helicase activity	7/54	154/18522	3.05764365061252e-07	1.11298228882296e-05	9.07637378392347e-06	HLTF/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7	7
MF	GO:0140097	catalytic activity, acting on DNA	8/54	248/18522	5.64233373612822e-07	1.71150789995889e-05	1.39573518735803e-05	HLTF/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7/TOP2A	8
MF	GO:0043138	3'-5' DNA helicase activity	3/54	14/18522	8.335054193632e-06	0.000216711409034432	0.00017672821673716	MCM2/MCM5/MCM6	3
MF	GO:0016887	ATP hydrolysis activity	7/54	417/18522	0.000198202238016375	0.00450910091487252	0.00367717310004063	ATAD2/MCM2/MCM3/MCM4/MCM5/MCM6/MCM7	7
MF	GO:0003688	DNA replication origin binding	2/54	16/18522	0.000975261844024479	0.0197219617347172	0.0160832654979475	MCM2/MCM5	2
MF	GO:0070182	DNA polymerase binding	2/54	21/18522	0.00169084385467442	0.0307733581550744	0.0250956824746414	FANCD2/FANCI	2
MF	GO:0031491	nucleosome binding	3/54	96/18522	0.00276387129831379	0.0457295069357372	0.0372924261303583	CGAS/H2AC21/MBD3	3
